"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2267.95543046692,59.8276,1,2267.95543046692
"Sump_initial_20191004",2143.94751582156,60.0772,2,2142.72310262007
"T7_initial_20191004",2149.56009907676,59.6816,3,2147.10626334722
"T13_initial_20191004",2216.89017296807,60.1779,4,2213.0962936076
"Sump_20191023",2417.33031756094,60.349,5,2411.8175916372
"T7_20191023",2421.36576114998,59.9853,6,2414.46728319799
"T13_20191023",2419.11081756452,60.1199,7,2410.84506306259
"Sump_20191029",2439.49901981756,60.1586,8,2429.77990021669
"T7_20191029",2441.72720339504,59.9152,9,2430.61581680394
"T13_20191029",2448.75899787585,60.2796,10,2436.22981596517
"SCMI_20191104",2267.01560577906,60.1537,11,2254.13483529167
