SampleID,TA,Mass,Sample.Index,TA_evap
junk,2255.062585,60.0259,1,2255.062585
D_25_4_BC_1,2102.436152,59.8643,2,2101.235446
D_25_4_BC_2,2108.197425,60.1606,3,2105.790807
D_25_5_BC,2009.289921,60.0863,4,2005.851318
N_25_4_BC,2317.733711,60.196,5,2312.448116
N_27_4_AI,2284.133185,59.8661,6,2277.625683
N_28_3_BC,2265.240678,59.7637,7,2257.500675
N_28_4_BC,2369.035543,60.1684,8,2359.597154
N_28_5_BC,2495.642256,60.1258,9,2484.285522
N_29_2_AI,2249.407022,59.8504,10,2237.897833
D_31_4_BC,2079.682023,59.8508,11,2067.865648
N_31_2_BC,2056.510335,59.953,12,2043.664444
D_31_3_AI,2148.648022,60.0783,13,2134.014778
