SampleID,TA,Mass,Sample.Index,TA_evap,notes
junk,2251.140678,60.2533,1,2251.140678,
D_26_1_BC,2215.625472,60.0005,2,2214.360123,
D_26_2_BC,2193.714989,59.9532,3,2191.210748,
D_26_3_BC,2130.497843,59.9904,4,2126.851811,
D_26_4_BC,2207.03384,60.1108,5,2202.000696,redo?
D_26_5_BC,2219.892579,59.8577,6,2213.568099,ocean?
N_26_1_BC,2193.567952,60.1403,7,2186.072845,
N_26_2_BC,2198.883335,60.2445,8,2190.122843,
N_26_3_BC,2224.439023,60.2335,9,2214.316433,
N_26_4_BC,2351.087352,60.1363,10,2339.057912,redo?
N_26_5_BC,2388.285221,59.902,11,2374.715418,ocean?
D_26_1_AI,2192.108772,60.0267,12,2178.415872,
D_26_2_AI,2141.17625,59.9169,13,2126.593892,
D_26_3_AI,2037.663653,59.8423,14,2022.638339,
D_26_4_AI,1894.159678,59.8916,15,1879.126665,
N_26_1_AI,2254.499603,60.0814,16,2235.33955,
N_26_2_AI,2222.256254,60.1038,17,2202.122562,
N_26_3_AI,2271.810887,59.9315,18,2249.954189,redo?
N_26_4_AI,2288.961172,59.9054,19,2265.657269,redo?
