Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-32.9,NaN,22.2,,
0.0005,1,-33.0,0.0005,22.2,,
0.0025,2,-33.1,0.0020,22.2,,
0.0050,3,-33.1,0.0025,22.2,,
0.0090,4,-33.1,0.0035,22.2,,
0.0150,5,-33.2,0.0055,22.2,,
0.0235,6,-32.9,0.0075,22.2,,
0.0310,7,-32.7,0.0075,22.2,,
0.0395,8,-32.2,0.0085,22.2,,
0.0480,9,-31.6,0.0085,22.2,,
0.0565,10,-30.8,0.0075,22.2,,
0.0650,11,-29.8,0.0075,22.2,,
0.0735,12,-28.7,0.0075,22.2,,
0.0820,13,-27.7,0.0085,22.2,,
0.0895,14,-26.5,0.0075,22.2,,
0.0980,15,-25.2,0.0085,22.2,,
0.1060,16,-24.0,0.0075,22.2,,
0.1145,17,-22.7,0.0075,22.2,,
0.1230,18,-21.6,0.0075,22.2,,
0.1315,19,-20.6,0.0085,22.2,,
0.1390,20,-19.4,0.0075,22.2,,
0.1475,21,-18.2,0.0085,22.2,,
0.1560,22,-17.1,0.0075,22.2,,
0.1645,23,-16.0,0.0075,22.2,,
0.1725,24,-14.9,0.0075,22.2,,
0.1810,25,-13.8,0.0075,22.2,,
0.1885,26,-12.8,0.0075,22.2,,
0.1970,27,-11.9,0.0085,22.2,,
0.2055,28,-10.9,0.0075,22.2,,
0.2140,29,-10.0,0.0075,22.2,,
0.2225,30,-9.2,0.0075,22.2,,
0.2310,31,-8.2,0.0075,22.2,,
0.2385,32,-7.5,0.0075,22.2,,
0.2470,33,-6.7,0.0085,22.2,,
0.2555,34,-5.9,0.0075,22.2,,
0.2635,35,-5.1,0.0075,22.2,,
0.2720,36,-4.1,0.0075,22.2,,
0.2805,37,-3.3,0.0075,22.2,,
0.2880,38,-2.5,0.0075,22.2,,
0.2965,39,-1.7,0.0085,22.2,,
0.3050,40,-0.7,0.0075,22.2,,
0.3135,41,0.1,0.0075,22.2,,
0.3220,42,0.1,0.0075,22.2,,
0.3305,43,0.9,0.0075,22.2,,
0.3380,44,1.6,0.0075,22.2,,
0.3465,45,2.5,0.0085,22.2,,
0.3545,46,3.6,0.0075,22.2,,
0.3630,47,4.0,0.0075,22.2,,
0.3715,48,4.7,0.0075,22.2,,
0.3800,49,5.4,0.0075,22.2,,
0.3875,50,5.9,0.0075,22.2,,
0.3960,51,6.5,0.0085,22.2,,
0.4045,52,7.0,0.0075,22.2,,
0.4130,53,7.8,0.0075,22.2,,
0.4215,54,8.5,0.0075,22.2,,
0.4295,55,9.3,0.0075,22.2,,
0.4375,56,9.9,0.0080,22.2,,
0.4460,57,10.9,0.0085,22.2,,
0.4540,58,11.6,0.0075,22.2,,
0.4625,59,12.3,0.0075,22.2,,
0.4710,60,13.0,0.0075,22.2,,
0.4795,61,13.8,0.0075,22.2,,
0.4870,62,14.4,0.0075,22.2,,
0.4955,63,15.1,0.0085,22.2,,
0.5040,64,15.9,0.0075,22.2,,
0.5125,65,16.5,0.0075,22.2,,
0.5205,66,17.2,0.0075,22.2,,
0.5290,67,17.9,0.0075,22.2,,
0.5365,68,18.5,0.0075,22.2,,
0.5450,69,19.2,0.0085,22.2,,
0.5535,70,19.8,0.0075,22.2,,
0.5620,71,20.5,0.0075,22.2,,
0.5705,72,21.1,0.0075,22.2,,
0.5790,73,21.9,0.0075,22.2,,
0.5865,74,22.5,0.0075,22.2,,
0.5950,75,23.1,0.0085,22.2,,
0.6035,76,23.9,0.0085,22.2,,
0.6115,77,24.5,0.0075,22.2,,
0.6200,78,25.2,0.0075,22.2,,
0.6285,79,25.9,0.0075,22.2,,
0.6370,80,26.6,0.0085,22.2,,
0.6445,81,27.2,0.0075,22.2,,
0.6530,82,27.9,0.0085,22.2,,
0.6615,83,28.6,0.0075,22.2,,
0.6700,84,29.2,0.0075,22.2,,
0.6785,85,30.0,0.0075,22.2,,
0.6865,86,30.5,0.0080,22.2,,
0.6945,87,31.1,0.0080,22.2,,
0.7025,88,31.8,0.0080,22.2,,
0.7110,89,32.5,0.0075,22.2,,
0.7195,90,33.2,0.0075,22.2,,
0.7280,91,33.9,0.0075,22.2,,
0.7365,92,34.6,0.0075,22.2,,
0.7440,93,35.3,0.0075,22.2,,
0.7525,94,36.0,0.0085,22.2,,
0.7610,95,36.6,0.0075,22.2,,
0.7690,96,37.3,0.0075,22.2,,
0.7775,97,38.0,0.0075,22.2,,
0.7860,98,38.7,0.0075,22.2,,
0.7935,99,39.3,0.0075,22.2,,
0.8020,100,39.9,0.0085,22.2,,
0.8105,101,40.6,0.0075,22.2,,
0.8190,102,41.3,0.0075,22.2,,
0.8275,103,42.0,0.0075,22.2,,
0.8360,104,42.7,0.0075,22.2,,
0.8435,105,43.3,0.0075,22.2,,
0.8520,106,44.1,0.0085,22.2,,
0.8600,107,44.8,0.0075,22.2,,
0.8685,108,45.4,0.0075,22.2,,
0.8770,109,46.1,0.0075,22.2,,
0.8855,110,46.9,0.0075,22.2,,
0.8930,111,47.5,0.0075,22.2,,
0.9015,112,48.2,0.0085,22.2,,
0.9100,113,48.9,0.0075,22.2,,
