Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,Junk,4/25/2018 11:38:22 AM,OK,Unchecked,0,,25.0,°C,,2.378,mL,,59.882,g,,59.8823,g,,1.0,g/mL
2,RB4-11-Dark,4/25/2018 11:49:00 AM,OK,Unchecked,0,,25.0,°C,,2.452,mL,,59.832,g,,59.8322,g,,1.0,g/mL
3,RB3-11-Dark,4/25/2018 12:00:18 PM,OK,Unchecked,0,,25.0,°C,,2.470,mL,,60.047,g,,60.0473,g,,1.0,g/mL
4,RB2-11-Dark,4/25/2018 12:10:58 PM,OK,Unchecked,0,,25.0,°C,,2.472,mL,,60.182,g,,60.1824,g,,1.0,g/mL
5,RB1-11-Dark,4/25/2018 12:21:40 PM,OK,Unchecked,0,,25.0,°C,,2.454,mL,,59.876,g,,59.8763,g,,1.0,g/mL
6,OF4-11-Dark,4/25/2018 12:32:49 PM,OK,Unchecked,0,,25.0,°C,,2.482,mL,,60.218,g,,60.2176,g,,1.0,g/mL
4/25/2018 3:18:35 PMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
