SampleID,TA,Mass,Sample.Index,TA_evap,notes
junk,2255.177984,59.8362,1,2255.177984,
D_24_1_BC,2068.699432,60.1106,2,2067.517993,
D_24_2_BC,1988.217386,60.0626,3,1985.947731,
D_24_3_BC,1911.34025,59.8,4,1908.069275,
D_24_4_BC,1857.186196,59.9113,5,1852.95088,
D_24_5_BC,1797.61968,59.9932,6,1792.498257,
N_24_1_BC,2027.427754,59.9108,7,2020.500324,
N_24_2_BC,2001.178465,60.17,8,1993.205642,
N_24_3_BC,2088.251069,59.891,9,2078.74822,redo?
N_24_4_BC,2057.051638,59.8709,10,2046.526644,redo?
N_24_5_BC,2067.921656,59.9276,11,2056.172101,redo?
D_24_1_AI,2168.443106,59.9569,12,2154.898033,
D_24_2_AI,2131.221534,59.9813,13,2116.706972,
D_24_3_AI,2078.54623,59.9918,14,2063.219457,
D_24_4_AI,2034.525653,60.0108,15,2018.378624,
N_24_1_AI,2157.443467,60.0918,16,2139.108253,
N_24_2_AI,2155.544419,60.1066,17,2136.015138,
N_24_3_AI,2231.952074,60.1882,18,2210.478851,redo?
N_24_4_AI,2157.540566,59.9062,19,2135.574655,redo?
