SampleID,TA,Mass,Sample.Index,TA_evap,notes
JUNK,2261.724437,59.8766,1,2261.724437,
D_25_1_BC,2150.566483,59.8078,2,2149.33829,
D_25_2_BC,2117.995122,59.9413,3,2115.577319,
D_25_3_BC,2037.791177,59.9474,4,2034.303799,
D_25_4_BC,2119.485921,59.9211,5,2114.65243,
D_25_5_BC,2031.869666,59.8145,6,2026.080864,
N_25_1_BC,2083.567426,59.9232,7,2076.448175,redo?
N_25_2_BC,2076.499832,59.8676,8,2068.226924,redo?
N_25_3_BC,2235.682766,59.9255,9,2225.50901,redo?
N_25_4_BC,2313.748406,60.0221,10,2301.910012,redo?
N_25_5_BC,2331.173443,60.0074,11,2317.928139,redo?
D_25_1_AI,2139.348219,59.9778,12,2125.984885,
D_25_2_AI,2214.528514,59.9913,13,2199.446594,
D_25_3_AI,2231.667296,59.8565,14,2215.21144,
D_25_4_AI,2235.077317,59.9441,15,2217.338609,
N_25_1_AI,2168.490883,60.1216,16,2150.061782,
N_25_2_AI,2180.428903,60.0856,17,2160.674168,
N_25_3_AI,2236.839912,60.0866,18,2215.319664,
N_25_4_AI,2249.178995,59.9143,19,2226.280114,
