SampleID,TA,Mass,Sample.Index,TA_evap,notes
junk,2325.118643,60.2267,1,2325.118643,
D_29_1_BC,2162.311259,59.9841,2,2161.076358,
D_29_2_BC,2042.965996,59.9978,3,2040.633843,
D_29_3_BC,1918.848003,60.0647,4,1915.564178,
D_29_4_BC,1870.452653,59.9114,5,1866.187083,
D_29_5_BC,2107.005405,59.926,6,2101.002541,redo
N_29_1_BC,2204.186737,60.0222,7,2196.655347,
N_29_2_BC,2163.336079,60.0465,8,2154.717211,redo
N_29_3_BC,2231.694964,59.8912,9,2221.539355,
N_29_4_BC,2290.869541,59.8862,10,2279.148208,
N_29_5_BC,2415.475184,60.2981,11,2401.750893,
D_29_1_AI,2207.426752,59.9871,12,2193.63817,
D_29_2_AI,2209.459107,60.0733,13,2194.411713,
D_29_3_AI,2236.017527,60.1325,18,2214.505191,redo
D_29_4_AI,2215.219559,60.0241,19,2192.666419,
N_29_1_AI,2280.230543,59.9473,16,2260.851813,redo
N_29_2_AI,2236.745819,60.0288,17,2216.480852,redo
N_29_3_AI,2371.521004,59.8767,14,2354.033895,redo
N_29_4_AI,2326.100834,60.1053,15,2307.639717,redo
