Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk1,12/22/2024 10:41:07 AM,OK,Unchecked,0,,25.0,°C,,1.976,mL,,59.784,g,,59.7835,g,,1.0,g/mL
2,junk2,12/22/2024 10:51:01 AM,OK,Unchecked,0,,25.0,°C,,1.987,mL,,60.345,g,,60.3451,g,,1.0,g/mL
3,junk3,12/22/2024 11:00:45 AM,OK,Unchecked,0,,25.0,°C,,1.973,mL,,60.255,g,,60.2546,g,,1.0,g/mL
4,T12_initial_S2,12/22/2024 11:10:29 AM,OK,Unchecked,0,,25.0,°C,,2.000,mL,,59.771,g,,59.7708,g,,1.0,g/mL
5,T12_initial_S3,12/22/2024 11:20:16 AM,OK,Unchecked,0,,25.0,°C,,2.014,mL,,60.118,g,,60.1179,g,,1.0,g/mL
6,T12_initial_S1,12/22/2024 11:30:05 AM,OK,Unchecked,0,,25.0,°C,,1.996,mL,,59.638,g,,59.6380,g,,1.0,g/mL
7,T12_Teg,12/22/2024 11:39:53 AM,OK,Unchecked,0,,25.0,°C,,1.999,mL,,60.065,g,,60.0648,g,,1.0,g/mL
8,T12_SBlank,12/22/2024 11:49:40 AM,OK,Unchecked,0,,25.0,°C,,1.985,mL,,60.087,g,,60.0873,g,,1.0,g/mL
9,T11_initial_S1,12/22/2024 11:59:33 AM,OK,Unchecked,0,,25.0,°C,,2.018,mL,,60.463,g,,60.4634,g,,1.0,g/mL
10,T11_initial_S2,12/22/2024 12:09:29 PM,OK,Unchecked,0,,25.0,°C,,2.004,mL,,60.088,g,,60.0882,g,,1.0,g/mL
11,T11_initial_S3,12/22/2024 12:19:25 PM,OK,Unchecked,0,,25.0,°C,,1.990,mL,,59.597,g,,59.5974,g,,1.0,g/mL
12,T11_Teg,12/22/2024 12:29:13 PM,OK,Unchecked,0,,25.0,°C,,2.053,mL,,60.407,g,,60.4073,g,,1.0,g/mL
13,T11_SBlank,12/22/2024 12:39:07 PM,OK,Unchecked,0,,25.0,°C,,1.957,mL,,60.374,g,,60.3736,g,,1.0,g/mL
14,T3_initial_S1,12/22/2024 12:48:48 PM,OK,Unchecked,0,,25.0,°C,,1.990,mL,,60.255,g,,60.2551,g,,1.0,g/mL
15,T3_initial_S2,12/22/2024 12:58:38 PM,OK,Unchecked,0,,25.0,°C,,1.982,mL,,60.142,g,,60.1415,g,,1.0,g/mL
16,T3_initial_S3,12/22/2024 1:08:24 PM,OK,Unchecked,0,,25.0,°C,,1.980,mL,,59.883,g,,59.8828,g,,1.0,g/mL
17,T3_Teg,12/22/2024 1:18:10 PM,OK,Unchecked,0,,25.0,°C,,1.928,mL,,60.357,g,,60.3572,g,,1.0,g/mL
18,T3_SBlank,12/22/2024 1:27:47 PM,OK,Unchecked,0,,25.0,°C,,1.950,mL,,60.344,g,,60.3438,g,,1.0,g/mL
19,T15_initial_S1,12/22/2024 1:37:28 PM,OK,Unchecked,0,,25.0,°C,,1.978,mL,,59.868,g,,59.8677,g,,1.0,g/mL
20,T15_initial_S2,12/22/2024 1:47:23 PM,OK,Unchecked,0,,25.0,°C,,1.996,mL,,59.805,g,,59.8048,g,,1.0,g/mL
21,T15_initial_S3,12/22/2024 1:57:09 PM,OK,Unchecked,0,,25.0,°C,,1.998,mL,,60.373,g,,60.3733,g,,1.0,g/mL
22,T15_Teg,12/22/2024 2:07:01 PM,OK,Unchecked,0,,25.0,°C,,1.958,mL,,60.066,g,,60.0664,g,,1.0,g/mL
23,T15_SBlank,12/22/2024 2:16:53 PM,OK,Unchecked,0,,25.0,°C,,1.942,mL,,60.140,g,,60.1395,g,,1.0,g/mL
24,T17_initial_S1,12/22/2024 2:26:45 PM,OK,Unchecked,0,,25.0,°C,,1.988,mL,,60.253,g,,60.2530,g,,1.0,g/mL
25,T17_initial_S2,12/22/2024 2:36:35 PM,OK,Unchecked,0,,25.0,°C,,1.987,mL,,59.928,g,,59.9275,g,,1.0,g/mL
26,T17_initial_S3,12/22/2024 2:46:23 PM,OK,Unchecked,0,,25.0,°C,,1.986,mL,,59.723,g,,59.7228,g,,1.0,g/mL
27,T17_Teg,12/22/2024 2:56:08 PM,OK,Unchecked,0,,25.0,°C,,1.994,mL,,60.000,g,,59.9997,g,,1.0,g/mL
28,T17_SBlank,12/22/2024 3:05:55 PM,OK,Unchecked,0,,25.0,°C,,1.943,mL,,59.798,g,,59.7983,g,,1.0,g/mL
SystemInternal12/22/2024 3:30:08 PM,,,,,,,,,,,,,,,,,,1/1,,
