"SampleID","TA","Mass","Sample.Index"
"junk1",2119.29602851486,60.3862,1
"junk2",2077.62512431689,59.8823,2
"junk3",2081.14451882663,60.4187,3
"T11_initial_1",2014.33080884293,60.14,4
"T11_initial_2",2008.36584035247,59.8308,5
"T11_initial_3",2023.75259121232,60.0811,6
"T11_Blank",2002.11008950981,60.0094,7
"T11_M61",2036.90499732976,60.3134,8
"T11_M62",2005.14421400106,60.0947,9
"T11_M63",2008.96655635664,60.0945,10
"T11_M64",2012.81009662319,60.0476,11
"T11_M65",2007.42211677064,60.4104,12
"T11_N32",2023.35733616794,60.4905,13
"T11_N11",2029.16417683817,59.6835,14
"T11_N45",2030.1727042763,60.0337,15
"T11_N50",2008.85150689006,59.918,16
"T12_initial_1",1981.68458454506,60.1121,17
"T12_initial_2",1994.80568242177,59.9459,18
"T12_initial_3",1992.84985316724,60.1491,19
"T12_Blank",1987.48602157852,60.0048,20
"T12_M67",1991.21858336473,60.1192,21
"T12_M68",1991.25465896444,60.2088,22
"T12_M69",1995.74209984326,59.9346,23
"T12_M70",2001.7141428252,59.5803,24
"T12_M71",1996.5129672405,59.9937,25
"T12_N104",2078.71071089569,60.2898,26
"T12_N101",2010.788689331,60.2902,27
"T12_N29",2006.37337584919,59.9511,28
"T12_N87",2011.71588305553,59.8046,29
