SampleID,TA,Mass,Sample.Index,TA_evap,notes
Junk1,2276.638041,59.6957,1,2276.638041,
junk2,2218.117871,60.0758,2,2216.851099,
D_16_1_BC,1963.513133,59.796,3,1961.27168,
D_16_2_BC,1914.827145,60.1256,4,1911.550202,
D_16_3_BC,1862.903491,60.0259,5,1858.655136,
D_16_4_BC,1819.589228,60.0395,6,1814.405213,
D_16_5_BC,2113.281124,60.009,7,2106.060345,rerun?
N_16_1_BC,2042.273271,59.9999,8,2034.136724,
N_16_2_BC,1993.974115,60.0305,9,1984.900285,
N_16_3_BC,2040.206841,59.9701,10,2029.768034,
N_16_4_BC,2082.807287,59.9545,11,2070.973155,
D_16_1_AI,2178.721112,59.8154,12,2165.111838,
D_16_2_AI,2162.864984,59.9823,13,2148.134916,
D_16_3_AI,2092.577275,59.9731,14,2077.14704,
D_16_4_AI,2118.885608,59.915,15,2102.069055,
N_16_1_AI,2094.835224,60.1591,16,2077.032092,
N_16_2_AI,2169.343301,59.8933,17,2149.689001,
N_16_3_AI,2104.915961,59.8573,18,2084.664931,
N_16_4_AI,2100.45119,59.9498,19,2079.066506,
