Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk1,11/13/2025 1:10:53 PM,OK,Unchecked,0,,25.0,°C,,2.268,mL,,60.209,g,,60.2091,g,1.0,g/mL,
2,junk2,11/13/2025 1:21:20 PM,OK,Unchecked,0,,25.0,°C,,2.267,mL,,60.321,g,,60.3214,g,1.0,g/mL,
3,junk3,11/13/2025 1:31:38 PM,OK,Unchecked,0,,25.0,°C,,2.265,mL,,60.204,g,,60.2042,g,1.0,g/mL,
4,20251105_sb_p29_t1,11/13/2025 1:41:55 PM,OK,Unchecked,0,,25.0,°C,,2.093,mL,,60.054,g,,60.0545,g,1.0,g/mL,
5,20251105_sb_p28_t1,11/13/2025 1:51:50 PM,OK,Unchecked,0,,25.0,°C,,2.239,mL,,60.206,g,,60.2056,g,1.0,g/mL,
6,20251105_sb_p26_t1,11/13/2025 2:02:04 PM,OK,Unchecked,0,,25.0,°C,,2.232,mL,,60.076,g,,60.0765,g,1.0,g/mL,
7,20251105_sb_p25_t1,11/13/2025 2:12:19 PM,OK,Unchecked,0,,25.0,°C,,2.070,mL,,60.144,g,,60.1439,g,1.0,g/mL,
8,20251105_sb_p24_t1,11/13/2025 2:22:13 PM,OK,Unchecked,0,,25.0,°C,,2.275,mL,,60.070,g,,60.0697,g,1.0,g/mL,
9,20251105_sb_p23_t1,11/13/2025 2:32:29 PM,OK,Unchecked,0,,25.0,°C,,2.108,mL,,60.052,g,,60.0522,g,1.0,g/mL,
10,20251105_sb_p22_t1,11/13/2025 2:42:31 PM,OK,Unchecked,0,,25.0,°C,,2.015,mL,,60.101,g,,60.1011,g,1.0,g/mL,
11,20251105_sb_p32_t1,11/13/2025 2:52:19 PM,OK,Unchecked,0,,25.0,°C,,2.204,mL,,60.050,g,,60.0497,g,1.0,g/mL,
12,20251105_sb_p29_t2,11/13/2025 3:02:29 PM,OK,Unchecked,0,,25.0,°C,,2.136,mL,,60.223,g,,60.2230,g,1.0,g/mL,
13,20251105_sb_p28_t2,11/13/2025 3:12:32 PM,OK,Unchecked,0,,25.0,°C,,2.259,mL,,60.113,g,,60.1132,g,1.0,g/mL,
14,20251105_sb_p26_t2,11/13/2025 3:22:50 PM,OK,Unchecked,0,,25.0,°C,,2.259,mL,,60.181,g,,60.1809,g,1.0,g/mL,
15,20251105_sb_p25_t2,11/13/2025 3:33:09 PM,OK,Unchecked,0,,25.0,°C,,2.098,mL,,60.066,g,,60.0660,g,1.0,g/mL,
16,20251105_sb_p24_t2,11/13/2025 3:43:06 PM,OK,Unchecked,0,,25.0,°C,,2.296,mL,,60.175,g,,60.1754,g,1.0,g/mL,
17,20251105_sb_p23_t2,11/13/2025 3:53:28 PM,OK,Unchecked,0,,25.0,°C,,2.134,mL,,60.125,g,,60.1254,g,1.0,g/mL,
18,20251105_sb_p22_t2,11/13/2025 4:03:28 PM,OK,Unchecked,0,,25.0,°C,,2.047,mL,,60.221,g,,60.2210,g,1.0,g/mL,
19,20251105_sb_p32_t2,11/13/2025 4:13:18 PM,OK,Unchecked,0,,25.0,°C,,2.229,mL,,60.394,g,,60.3944,g,1.0,g/mL,
20,20251105_sb_p29_t3,11/13/2025 4:23:31 PM,OK,Unchecked,0,,25.0,°C,,2.152,mL,,60.001,g,,60.0009,g,1.0,g/mL,
21,20251105_sb_p28_t3,11/13/2025 4:33:35 PM,OK,Unchecked,0,,25.0,°C,,2.280,mL,,60.216,g,,60.2158,g,1.0,g/mL,
22,20251105_sb_p26_t3,11/13/2025 4:43:55 PM,OK,Unchecked,0,,25.0,°C,,2.280,mL,,60.033,g,,60.0332,g,1.0,g/mL,
23,20251105_sb_p25_t3,11/13/2025 4:54:15 PM,OK,Unchecked,0,,25.0,°C,,2.126,mL,,60.021,g,,60.0206,g,1.0,g/mL,
24,20251105_sb_p24_t3,11/13/2025 5:04:15 PM,OK,Unchecked,0,,25.0,°C,,2.324,mL,,60.216,g,,60.2157,g,1.0,g/mL,
25,20251105_sb_p23_t3,11/13/2025 5:14:43 PM,OK,Unchecked,0,,25.0,°C,,2.156,mL,,60.194,g,,60.1943,g,1.0,g/mL,
26,20251105_sb_p22_t3,11/13/2025 5:24:47 PM,OK,Unchecked,0,,25.0,°C,,2.077,mL,,60.106,g,,60.1062,g,1.0,g/mL,
27,20251105_sb_p32_t3,11/13/2025 5:34:42 PM,OK,Unchecked,0,,25.0,°C,,2.240,mL,,60.094,g,,60.0939,g,1.0,g/mL,
SystemInternal11/13/2025 5:54:50 PM,,,,,,,,,,,,,,,,,,,,1/1
