SampleID,TA,Mass,Sample.Index,TA_evap
junk1,2251.548982,60.3904,1,2251.548982
junk2,2233.01895,59.8363,2,2231.743668
junk3,2232.857021,59.8054,3,2230.308098
junk4,2229.817301,59.8656,4,2226.001298
junk5,2232.380827,59.9235,5,2227.289879
junk6,2227.972468,60.3987,6,2221.624968
HI_260,2260.346639,59.8799,7,2252.623359
HI_261,2327.70657,60.0141,8,2318.432839
HI_262,2378.131328,59.9464,9,2367.309343
HI_263,3266.918626,60.0861,10,3250.203295
HI_264,2218.762359,60.1432,11,2206.155755
HI_265,2260.262657,60.0299,12,2246.144037
HI_266,2065.969351,60.0235,13,2051.899185
HI_267,1832.228229,60.1082,14,1818.717755
HI_268,2266.978935,60.0636,15,2248.987039
HI_269,2304.745124,60.2484,16,2285.158055
