"SampleID","TA","Mass","Sample.Index"
"junk",2304.4358513309,60.0912,1
"S1",2152.47681885777,60.1391,2
"S2",2151.17848161859,60.1482,3
"S3",2155.30209684627,59.8524,4
"S4",2287.61528107171,60.287,5
"S5",2151.87880045701,60.1712,6
"S6",2153.70808715239,60.2952,7
"T1",2144.88000730982,60.3379,8
"T2",2133.94629851749,60.0732,9
"T3",2133.26825535236,60.2599,10
"T4",2146.89935969303,60.0257,11
"T5",2133.57943193165,60.4404,12
"T6",2128.30089623267,60.1125,13
"T7",2151.11099021986,60.1513,14
"T8",2145.55367375114,60.2622,15
"T9",2129.08920325828,60.2964,16
"T10",2115.29526526765,60.2724,17
"T11",2154.87710161057,60.1272,18
"T12",2158.6912413441,60.2807,19
"T13",2110.43232366715,59.6043,20
"T14",2141.15718771073,60.0862,21
"T15",2156.17102054173,60.2669,22
"T16",2128.35515093792,59.7515,23
"T17",2161.65913695138,59.7842,24
"T18",2136.98975981602,59.9017,25
"T19",2143.90258844354,59.9942,26
"T20",2123.62876578565,59.959,27
"T21",2129.7755270221,60.0977,28
"T22",2150.60296057803,60.0853,29
"T23",2131.36294719573,59.9239,30
"T24",2136.65334971921,59.9364,31
