Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk1,7/1/2026 9:55:13 AM,OK,Unchecked,0,,25.0,°C,,2.375,mL,,60.425,g,,60.4249,g,1.0,g/mL,
2,junk2,7/1/2026 10:05:56 AM,OK,Unchecked,0,,25.0,°C,,2.272,mL,,60.043,g,,60.0434,g,1.0,g/mL,
3,20260627_kb_p1_t1,7/1/2026 10:16:15 AM,OK,Unchecked,0,,25.0,°C,,3.117,mL,,60.137,g,,60.1368,g,1.0,g/mL,
4,20260627_kb_p2_t1,7/1/2026 10:28:16 AM,OK,Unchecked,0,,25.0,°C,,2.654,mL,,60.022,g,,60.0218,g,1.0,g/mL,
5,20260627_kb_p3_t1,7/1/2026 10:39:22 AM,OK,Unchecked,0,,25.0,°C,,2.658,mL,,60.480,g,,60.4797,g,1.0,g/mL,
6,20260627_kb_p4_t1,7/1/2026 10:50:30 AM,OK,Unchecked,0,,25.0,°C,,2.351,mL,,60.015,g,,60.0154,g,1.0,g/mL,
7,20260627_kb_p5_t1,7/1/2026 11:00:59 AM,OK,Unchecked,0,,25.0,°C,,2.367,mL,,60.262,g,,60.2621,g,1.0,g/mL,
8,20260627_kb_p6_t1,7/1/2026 11:11:30 AM,OK,Unchecked,0,,25.0,°C,,2.651,mL,,60.261,g,,60.2611,g,1.0,g/mL,
9,20260627_kb_p7_t1,7/1/2026 11:22:38 AM,OK,Unchecked,0,,25.0,°C,,2.460,mL,,60.493,g,,60.4934,g,1.0,g/mL,
10,20260627_kb_ocn_t1,7/1/2026 11:33:24 AM,OK,Unchecked,0,,25.0,°C,,2.192,mL,,60.498,g,,60.4983,g,1.0,g/mL,
11,20260627_kb_p1_t2,7/1/2026 11:43:36 AM,OK,Unchecked,0,,25.0,°C,,3.179,mL,,60.280,g,,60.2803,g,1.0,g/mL,
12,20260627_kb_p2_t2,7/1/2026 11:55:48 AM,OK,Unchecked,0,,25.0,°C,,2.732,mL,,60.433,g,,60.4332,g,1.0,g/mL,
13,20260627_kb_p3_t2,7/1/2026 12:07:04 PM,OK,Unchecked,0,,25.0,°C,,2.690,mL,,60.062,g,,60.0617,g,1.0,g/mL,
14,20260627_kb_p4_t2,7/1/2026 12:18:18 PM,OK,Unchecked,0,,25.0,°C,,2.422,mL,,60.309,g,,60.3088,g,1.0,g/mL,
15,20260627_kb_p5_t2,7/1/2026 12:28:57 PM,OK,Unchecked,0,,25.0,°C,,2.412,mL,,60.001,g,,60.0006,g,1.0,g/mL,
16,20260627_kb_p6_t2,7/1/2026 12:39:33 PM,OK,Unchecked,0,,25.0,°C,,2.634,mL,,60.060,g,,60.0595,g,1.0,g/mL,
17,20260627_kb_p7_t2,7/1/2026 12:50:39 PM,OK,Unchecked,0,,25.0,°C,,2.528,mL,,60.493,g,,60.4929,g,1.0,g/mL,
18,20260627_kb_ocn_t2,7/1/2026 1:01:28 PM,OK,Unchecked,0,,25.0,°C,,2.232,mL,,60.489,g,,60.4889,g,1.0,g/mL,
19,20260627_kb_p1_t3,7/1/2026 1:11:43 PM,OK,Unchecked,0,,25.0,°C,,3.287,mL,,60.431,g,,60.4306,g,1.0,g/mL,
20,20260627_kb_p2_t3,7/1/2026 1:24:07 PM,OK,Unchecked,0,,25.0,°C,,2.779,mL,,60.307,g,,60.3068,g,1.0,g/mL,
21,20260627_kb_p3_t3,7/1/2026 1:35:28 PM,OK,Unchecked,0,,25.0,°C,,2.716,mL,,60.081,g,,60.0814,g,1.0,g/mL,
22,20260627_kb_p4_t3,7/1/2026 1:46:42 PM,OK,Unchecked,0,,25.0,°C,,2.481,mL,,60.392,g,,60.3918,g,1.0,g/mL,
23,20260627_kb_p5_t3,7/1/2026 1:57:27 PM,OK,Unchecked,0,,25.0,°C,,2.496,mL,,60.269,g,,60.2693,g,1.0,g/mL,
24,20260627_kb_p6_t3,7/1/2026 2:08:13 PM,OK,Unchecked,0,,25.0,°C,,2.696,mL,,60.201,g,,60.2009,g,1.0,g/mL,
25,20260627_kb_p7_t3,7/1/2026 2:19:26 PM,OK,Unchecked,0,,25.0,°C,,2.574,mL,,60.091,g,,60.0912,g,1.0,g/mL,
26,20260627_kb_ocn_t3,7/1/2026 2:30:23 PM,OK,Unchecked,0,,25.0,°C,,2.176,mL,,60.076,g,,60.0761,g,1.0,g/mL,
SystemInternal7/1/2026 2:43:14 PM,,,,,,,,,,,,,,,,,,,,1/1
