"SampleID","TA","Mass","Sample.Index","TA_evap"
"j1",2240.00651594539,59.8951,1,2240.00651594539
"j2",2220.33297427536,59.7874,2,2219.06493716841
"j3",2224.0018570772,59.8421,3,2221.46304217186
"CRM",2202.32377502148,60.0531,4,2198.5548238948
