Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk1,5/16/2022 2:19:02 PM,OK,Unchecked,0,,25.0,°C,,0.854,mL,,60.069,g,,60.0690,g,,1.0,g/mL
2,junk2,5/16/2022 2:26:36 PM,OK,Unchecked,0,,25.0,°C,,0.822,mL,,60.221,g,,60.2210,g,,1.0,g/mL
3,junk3,5/16/2022 2:33:58 PM,OK,Unchecked,0,,25.0,°C,,0.810,mL,,59.737,g,,59.7374,g,,1.0,g/mL
4,VWell1,5/16/2022 2:41:16 PM,Not OK,Unchecked,0,,25.0,°C,,NaN,mL,,59.888,g,,59.8878,g,,1.0,g/mL
5,VWell3,5/16/2022 2:55:02 PM,Not OK,Unchecked,0,,25.0,°C,,NaN,mL,,60.130,g,,60.1299,g,,1.0,g/mL
6,VWell2,5/16/2022 3:08:46 PM,OK,Unchecked,0,,25.0,°C,,2.938,mL,,39.589,g,,39.5893,g,,1.0,g/mL
5/16/2022 3:25:45 PMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
