Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-41.4,NaN,20.4,,
0.0010,1,-41.8,0.0010,20.4,,
0.0025,2,-41.7,0.0015,20.4,,
0.0050,3,-41.7,0.0020,20.4,,
0.0090,4,-41.8,0.0035,20.4,,
0.0150,5,-41.7,0.0055,20.4,,
0.0235,6,-41.6,0.0075,20.4,,
0.0320,7,-41.4,0.0075,20.4,,
0.0405,8,-41.0,0.0075,20.4,,
0.0490,9,-40.5,0.0070,20.4,,
0.0565,10,-40.1,0.0070,20.4,,
0.0650,11,-39.6,0.0075,20.4,,
0.0735,12,-38.8,0.0075,20.4,,
0.0820,13,-38.2,0.0075,20.4,,
0.0905,14,-37.4,0.0075,20.4,,
0.0985,15,-36.6,0.0075,20.4,,
0.1065,16,-35.7,0.0075,20.4,,
0.1145,17,-34.6,0.0075,20.4,,
0.1230,18,-33.6,0.0075,20.4,,
0.1315,19,-32.5,0.0075,20.4,,
0.1400,20,-31.6,0.0075,20.4,,
0.1475,21,-30.8,0.0070,20.4,,
0.1560,22,-29.8,0.0075,20.4,,
0.1645,23,-28.9,0.0075,20.4,,
0.1730,24,-28.0,0.0075,20.4,,
0.1815,25,-27.2,0.0075,20.4,,
0.1900,26,-26.5,0.0075,20.4,,
0.1975,27,-25.7,0.0070,20.4,,
0.2060,28,-24.9,0.0075,20.4,,
0.2140,29,-24.0,0.0075,20.4,,
0.2225,30,-23.2,0.0075,20.4,,
0.2310,31,-22.2,0.0075,20.4,,
0.2395,32,-21.4,0.0075,20.4,,
0.2470,33,-20.7,0.0070,20.4,,
0.2555,34,-19.8,0.0075,20.4,,
0.2640,35,-18.9,0.0075,20.4,,
0.2725,36,-18.0,0.0075,20.4,,
0.2810,37,-17.4,0.0075,20.4,,
0.2895,38,-16.6,0.0070,20.4,,
0.2970,39,-15.8,0.0070,20.4,,
0.3055,40,-15.1,0.0075,20.4,,
0.3135,41,-14.2,0.0075,20.4,,
0.3220,42,-13.4,0.0075,20.4,,
0.3305,43,-12.5,0.0075,20.4,,
0.3390,44,-11.8,0.0075,20.4,,
0.3465,45,-11.1,0.0070,20.4,,
0.3550,46,-10.1,0.0075,20.4,,
0.3635,47,-9.3,0.0075,20.4,,
0.3720,48,-8.6,0.0075,20.4,,
0.3805,49,-8.0,0.0075,20.4,,
0.3880,50,-7.4,0.0070,20.4,,
0.3965,51,-6.7,0.0075,20.4,,
0.4050,52,-5.9,0.0075,20.4,,
0.4130,53,-4.8,0.0075,20.4,,
0.4215,54,-3.8,0.0075,20.4,,
0.4300,55,-2.8,0.0070,20.4,,
0.4375,56,-2.1,0.0070,20.4,,
0.4460,57,-1.0,0.0075,20.4,,
0.4545,58,-0.2,0.0075,20.4,,
0.4630,59,0.5,0.0075,20.4,,
0.4715,60,0.6,0.0075,20.4,,
0.4800,61,1.2,0.0070,20.4,,
0.4875,62,2.2,0.0070,20.4,,
0.4960,63,3.1,0.0075,20.4,,
0.5045,64,4.1,0.0075,20.4,,
0.5125,65,4.7,0.0075,20.4,,
0.5210,66,5.4,0.0075,20.4,,
0.5295,67,6.0,0.0070,20.4,,
0.5370,68,6.6,0.0070,20.4,,
0.5455,69,7.3,0.0075,20.4,,
0.5540,70,8.3,0.0075,20.4,,
0.5625,71,9.4,0.0075,20.4,,
0.5710,72,10.4,0.0075,20.4,,
0.5795,73,11.2,0.0075,20.4,,
0.5870,74,12.1,0.0070,20.4,,
0.5955,75,12.9,0.0075,20.4,,
0.6040,76,13.6,0.0075,20.4,,
0.6120,77,14.5,0.0075,20.4,,
0.6205,78,15.3,0.0075,20.4,,
0.6280,79,16.1,0.0070,20.4,,
