Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk,5/15/2026 10:09,OK,Unchecked,0,,25,°C,,2.23,mL,,60.176,g,,60.1759,g,1,g/mL,
2,S1,5/15/2026 10:19,OK,Unchecked,0,,25,°C,,2.216,mL,,59.987,g,,59.987,g,1,g/mL,
3,S2,5/15/2026 10:29,OK,Unchecked,0,,25,°C,,2.186,mL,,60.048,g,,60.0485,g,1,g/mL,
4,S3,5/15/2026 10:39,OK,Unchecked,0,,25,°C,,2.196,mL,,60.217,g,,60.2167,g,1,g/mL,
5,S4,5/15/2026 10:50,OK,Unchecked,0,,25,°C,,2.194,mL,,60.108,g,,60.1077,g,1,g/mL,
6,S5,5/15/2026 11:00,OK,Unchecked,0,,25,°C,,2.166,mL,,59.735,g,,59.7354,g,1,g/mL,
7,S6,5/15/2026 11:10,OK,Unchecked,0,,25,°C,,2.171,mL,,59.927,g,,59.9274,g,1,g/mL,
8,1,5/15/2026 11:20,OK,Unchecked,0,,25,°C,,2.148,mL,,60.021,g,,60.0213,g,1,g/mL,
9,2,5/15/2026 11:30,OK,Unchecked,0,,25,°C,,2.162,mL,,60.33,g,,60.3298,g,1,g/mL,
10,3,5/15/2026 11:40,OK,Unchecked,0,,25,°C,,2.139,mL,,59.895,g,,59.895,g,1,g/mL,
11,4,5/15/2026 11:50,OK,Unchecked,0,,25,°C,,2.158,mL,,60.104,g,,60.1035,g,1,g/mL,
12,5,5/15/2026 12:00,OK,Unchecked,0,,25,°C,,2.156,mL,,59.913,g,,59.9134,g,1,g/mL,
13,6,5/15/2026 12:11,OK,Unchecked,0,,25,°C,,2.13,mL,,59.785,g,,59.785,g,1,g/mL,
14,7,5/15/2026 12:21,OK,Unchecked,0,,25,°C,,2.156,mL,,60.2,g,,60.2004,g,1,g/mL,
15,8,5/15/2026 12:31,OK,Unchecked,0,,25,°C,,2.148,mL,,60.015,g,,60.0153,g,1,g/mL,
16,9,5/15/2026 12:41,OK,Unchecked,0,,25,°C,,2.147,mL,,59.954,g,,59.9538,g,1,g/mL,
17,10,5/15/2026 12:51,OK,Unchecked,0,,25,°C,,2.153,mL,,60.349,g,,60.3491,g,1,g/mL,
18,11,5/15/2026 13:01,OK,Unchecked,0,,25,°C,,2.163,mL,,60.116,g,,60.1161,g,1,g/mL,
19,12,5/15/2026 13:12,OK,Unchecked,0,,25,°C,,2.155,mL,,60.172,g,,60.172,g,1,g/mL,
20,13,5/15/2026 13:22,OK,Unchecked,0,,25,°C,,2.147,mL,,60.25,g,,60.2502,g,1,g/mL,
21,14,5/15/2026 13:32,OK,Unchecked,0,,25,°C,,2.144,mL,,59.858,g,,59.858,g,1,g/mL,
22,15,5/15/2026 13:42,OK,Unchecked,0,,25,°C,,2.194,mL,,60.34,g,,60.3403,g,1,g/mL,
23,16,5/15/2026 13:52,OK,Unchecked,0,,25,°C,,2.16,mL,,60.298,g,,60.2982,g,1,g/mL,
24,17,5/15/2026 14:02,OK,Unchecked,0,,25,°C,,2.168,mL,,59.88,g,,59.8802,g,1,g/mL,
25,18,5/15/2026 14:12,OK,Unchecked,0,,25,°C,,2.152,mL,,60.115,g,,60.1148,g,1,g/mL,
26,19,5/15/2026 14:22,OK,Unchecked,0,,25,°C,,2.15,mL,,59.947,g,,59.9473,g,1,g/mL,
27,20,5/15/2026 14:33,OK,Unchecked,0,,25,°C,,2.132,mL,,59.836,g,,59.8364,g,1,g/mL,
28,21,5/15/2026 14:43,OK,Unchecked,0,,25,°C,,2.15,mL,,59.99,g,,59.9899,g,1,g/mL,
29,22,5/15/2026 14:53,OK,Unchecked,0,,25,°C,,2.161,mL,,60.119,g,,60.1193,g,1,g/mL,
30,23,5/15/2026 15:03,OK,Unchecked,0,,25,°C,,2.152,mL,,60.162,g,,60.1615,g,1,g/mL,
31,24,5/15/2026 15:13,OK,Unchecked,0,,25,°C,,2.159,mL,,60.385,g,,60.3847,g,1,g/mL,
5/18/2026 8:55:28 AMSystemInternal,,,,,,,,,,,,,,,,,,,,1-Jan
