SampleID,TA,Mass,Sample.Index,,
junk1,2262.582857,60.0022,1,,-20.91286736
junk2,2241.66999,59.827,2,,5.006728072
junk3,2246.676718,60.2887,3,,-6.324140669
junk4,2240.352577,60.057,4,,6.193058201
junk5,2246.545635,60.2548,5,,-9.280019672
junk6,2237.265616,60.1033,6,,-1.684211329
junk7,2235.581404,59.7109,7,,8.239042042
junk8,2243.820446,59.869,8,,13.42433438
junk9,2257.244781,60.2199,9,,0.651827844
junk10,2257.896609,60.0291,10,,
