Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-68.7,NaN,21.5,,
0.0005,1,-68.3,0.0005,21.5,,
0.0025,2,-68.1,0.0020,21.5,,
0.0050,3,-68.0,0.0025,21.5,,
0.0090,4,-67.9,0.0035,21.5,,
0.0150,5,-67.8,0.0055,21.5,,
0.0235,6,-67.7,0.0075,21.5,,
0.0315,7,-67.3,0.0080,21.5,,
0.0395,8,-66.7,0.0080,21.5,,
0.0480,9,-65.5,0.0075,21.5,,
0.0565,10,-64.3,0.0075,21.5,,
0.0650,11,-63.2,0.0075,21.5,,
0.0735,12,-62.0,0.0085,21.5,,
0.0810,13,-60.5,0.0075,21.5,,
0.0895,14,-59.1,0.0085,21.5,,
0.0980,15,-57.7,0.0075,21.5,,
0.1065,16,-55.6,0.0075,21.5,,
0.1150,17,-53.8,0.0075,21.5,,
0.1225,18,-52.2,0.0075,21.5,,
0.1310,19,-49.9,0.0085,21.5,,
0.1390,20,-47.5,0.0075,21.5,,
0.1475,21,-45.4,0.0075,21.5,,
0.1560,22,-43.0,0.0075,21.5,,
0.1645,23,-40.4,0.0075,21.5,,
0.1730,24,-37.8,0.0085,21.5,,
0.1805,25,-35.1,0.0075,21.5,,
0.1890,26,-31.7,0.0075,21.5,,
0.1975,27,-28.1,0.0075,21.5,,
0.2060,28,-24.2,0.0075,21.5,,
0.2140,29,-20.0,0.0075,21.5,,
0.2220,30,-16.3,0.0080,21.5,,
0.2300,31,-12.7,0.0080,21.5,,
0.2385,32,-8.8,0.0075,21.5,,
0.2470,33,-5.5,0.0075,21.5,,
0.2555,34,-1.8,0.0075,21.5,,
0.2640,35,0.1,0.0075,21.5,,
0.2715,36,2.1,0.0075,21.5,,
0.2800,37,3.8,0.0085,21.5,,
0.2885,38,5.3,0.0075,21.5,,
0.2970,39,6.6,0.0075,21.5,,
0.3055,40,8.0,0.0075,21.5,,
0.3135,41,9.4,0.0080,21.5,,
0.3215,42,10.9,0.0080,21.5,,
0.3300,43,12.1,0.0085,21.5,,
0.3380,44,13.4,0.0075,21.5,,
0.3465,45,14.9,0.0075,21.5,,
0.3550,46,16.1,0.0075,21.5,,
0.3635,47,17.2,0.0085,21.5,,
0.3710,48,18.1,0.0075,21.5,,
0.3795,49,18.9,0.0085,21.5,,
0.3880,50,19.8,0.0075,21.5,,
0.3965,51,20.9,0.0075,21.5,,
0.4050,52,21.8,0.0075,21.5,,
0.4125,53,22.6,0.0075,21.5,,
0.4210,54,23.5,0.0085,21.5,,
0.4295,55,24.6,0.0075,21.5,,
0.4375,56,25.6,0.0075,21.5,,
0.4460,57,26.5,0.0075,21.5,,
0.4545,58,27.3,0.0085,21.5,,
0.4620,59,28.2,0.0075,21.5,,
0.4705,60,29.1,0.0085,21.5,,
0.4790,61,29.9,0.0075,21.5,,
0.4875,62,30.8,0.0075,21.5,,
0.4960,63,31.6,0.0075,21.5,,
0.5045,64,32.4,0.0085,21.5,,
0.5120,65,33.4,0.0075,21.5,,
0.5205,66,34.5,0.0085,21.5,,
0.5290,67,35.3,0.0075,21.5,,
0.5375,68,36.2,0.0075,21.5,,
0.5455,69,36.8,0.0075,21.5,,
0.5535,70,37.6,0.0080,21.5,,
0.5615,71,38.3,0.0080,21.5,,
0.5700,72,39.0,0.0075,21.5,,
0.5785,73,39.9,0.0075,21.5,,
0.5870,74,40.5,0.0075,21.5,,
0.5955,75,41.2,0.0085,21.5,,
0.6030,76,42.0,0.0075,21.5,,
0.6115,77,42.8,0.0085,21.5,,
0.6200,78,43.5,0.0075,21.5,,
0.6285,79,44.1,0.0075,21.5,,
0.6370,80,44.8,0.0075,21.5,,
0.6445,81,45.5,0.0075,21.5,,
0.6530,82,46.4,0.0085,21.5,,
0.6615,83,47.2,0.0075,21.5,,
0.6695,84,47.8,0.0075,21.5,,
0.6780,85,48.4,0.0075,21.5,,
0.6865,86,49.2,0.0075,21.5,,
0.6940,87,49.8,0.0075,21.5,,
0.7025,88,50.5,0.0085,21.5,,
0.7110,89,51.3,0.0075,21.5,,
0.7195,90,52.1,0.0075,21.5,,
0.7280,91,52.9,0.0075,21.5,,
0.7365,92,53.5,0.0085,21.5,,
0.7440,93,54.3,0.0075,21.5,,
0.7525,94,55.3,0.0085,21.5,,
0.7610,95,56.1,0.0075,21.5,,
0.7690,96,56.7,0.0075,21.5,,
0.7775,97,57.4,0.0075,21.5,,
0.7860,98,58.2,0.0085,21.5,,
0.7935,99,59.1,0.0075,21.5,,
0.8020,100,59.9,0.0085,21.5,,
0.8105,101,60.7,0.0075,21.5,,
0.8190,102,61.5,0.0075,21.5,,
0.8275,103,62.2,0.0075,21.5,,
0.8360,104,62.9,0.0085,21.5,,
0.8435,105,63.5,0.0075,21.5,,
0.8520,106,64.2,0.0085,21.5,,
0.8605,107,65.1,0.0075,21.5,,
0.8685,108,65.8,0.0075,21.5,,
0.8770,109,66.5,0.0075,21.5,,
0.8845,110,67.2,0.0075,21.5,,
