Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-68.1,NaN,21.6,,
0.0005,1,-65.5,0.0005,21.6,,
0.0025,2,-63.2,0.0020,21.6,,
0.0050,3,-61.4,0.0025,21.6,,
0.0090,4,-60.4,0.0035,21.6,,
0.0155,5,-59.4,0.0060,21.6,,
0.0235,6,-58.4,0.0075,21.6,,
0.0315,7,-57.4,0.0080,21.6,,
0.0395,8,-56.1,0.0080,21.6,,
0.0480,9,-54.5,0.0075,21.6,,
0.0565,10,-52.6,0.0075,21.6,,
0.0650,11,-50.7,0.0075,21.6,,
0.0725,12,-48.8,0.0075,21.6,,
0.0810,13,-46.8,0.0085,21.6,,
0.0895,14,-44.7,0.0085,21.6,,
0.0980,15,-42.1,0.0075,21.6,,
0.1065,16,-39.4,0.0075,21.6,,
0.1150,17,-36.5,0.0075,21.6,,
0.1225,18,-33.6,0.0075,21.6,,
0.1310,19,-30.4,0.0085,21.6,,
0.1395,20,-27.0,0.0075,21.6,,
0.1475,21,-23.5,0.0075,21.6,,
0.1560,22,-20.1,0.0075,21.6,,
0.1645,23,-16.6,0.0075,21.6,,
0.1720,24,-12.9,0.0075,21.6,,
0.1805,25,-9.0,0.0085,21.6,,
0.1890,26,-5.7,0.0075,21.6,,
0.1975,27,-2.4,0.0075,21.6,,
0.2060,28,0.2,0.0075,21.6,,
0.2135,29,1.8,0.0075,21.6,,
0.2220,30,4.2,0.0085,21.6,,
0.2305,31,5.8,0.0085,21.6,,
0.2390,32,7.3,0.0075,21.6,,
0.2470,33,9.0,0.0075,21.6,,
0.2555,34,10.6,0.0075,21.6,,
0.2635,35,12.0,0.0080,21.6,,
0.2715,36,13.6,0.0080,21.6,,
0.2800,37,14.9,0.0075,21.6,,
0.2885,38,16.1,0.0075,21.6,,
0.2970,39,17.2,0.0075,21.6,,
0.3055,40,18.3,0.0085,21.6,,
0.3130,41,19.2,0.0075,21.6,,
