Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-55.3,NaN,22.2,,
0.0005,1,-55.3,0.0005,22.2,,
0.0025,2,-55.3,0.0020,22.2,,
0.0050,3,-55.3,0.0025,22.2,,
0.0090,4,-55.3,0.0035,22.2,,
0.0155,5,-55.3,0.0060,22.2,,
0.0235,6,-55.1,0.0080,22.2,,
0.0310,7,-54.6,0.0075,22.2,,
0.0395,8,-53.8,0.0085,22.2,,
0.0480,9,-52.8,0.0075,22.2,,
0.0565,10,-51.4,0.0075,22.2,,
0.0650,11,-50.1,0.0075,22.2,,
0.0725,12,-48.9,0.0075,22.2,,
0.0810,13,-47.4,0.0085,22.2,,
0.0895,14,-45.9,0.0085,22.2,,
0.0980,15,-44.0,0.0075,22.2,,
0.1065,16,-41.8,0.0075,22.2,,
0.1150,17,-39.9,0.0075,22.2,,
0.1225,18,-38.0,0.0075,22.2,,
0.1310,19,-35.4,0.0085,22.2,,
0.1390,20,-32.6,0.0075,22.2,,
0.1475,21,-29.9,0.0075,22.2,,
0.1560,22,-27.2,0.0075,22.2,,
0.1645,23,-23.9,0.0075,22.2,,
0.1720,24,-21.1,0.0075,22.2,,
0.1805,25,-17.8,0.0085,22.2,,
0.1890,26,-14.5,0.0075,22.2,,
0.1975,27,-11.1,0.0075,22.2,,
0.2060,28,-8.2,0.0075,22.2,,
0.2145,29,-6.0,0.0085,22.2,,
0.2220,30,-3.3,0.0075,22.2,,
0.2300,31,-0.7,0.0080,22.2,,
0.2385,32,1.0,0.0075,22.2,,
0.2470,33,3.8,0.0075,22.2,,
0.2555,34,4.8,0.0075,22.2,,
0.2640,35,5.8,0.0085,22.2,,
0.2715,36,6.8,0.0075,22.2,,
0.2800,37,8.3,0.0085,22.2,,
0.2885,38,9.8,0.0075,22.2,,
0.2970,39,11.0,0.0075,22.2,,
0.3055,40,12.4,0.0075,22.2,,
0.3130,41,13.6,0.0075,22.2,,
0.3215,42,14.7,0.0085,22.2,,
0.3300,43,15.8,0.0085,22.2,,
0.3380,44,17.0,0.0075,22.2,,
0.3465,45,18.1,0.0075,22.2,,
0.3550,46,19.0,0.0075,22.2,,
