SampleID,TA,Mass,Sample.Index,TA_evap,notes
Junk,2271.250395,60.1955,1,2271.250395,
D_22_1_BC,2226.306083,60.0775,2,2225.034635,
D_22_2_BC,2221.260358,60.311,3,2218.724673,
D_22_3_BC,1902.023386,59.6014,4,1898.768355,redo?
D_22_4_BC,2213.390574,59.9795,5,2208.342933,redo?
D_22_5_BC,2265.402138,60.0167,6,2258.948001,redo?
N_22_1_BC,2245.764336,60.1813,7,2238.090882,
N_22_2_BC,2219.926782,59.6486,8,2211.082452,redo?
N_22_3_BC,2287.280821,60.0945,9,2276.872262,redo?
N_22_4_BC,2315.892403,60.3186,10,2304.043039,redo?
N_22_5_BC,2372.760137,59.7444,11,2359.278545,
D_22_1_AI,2075.799256,59.9526,12,2062.832877,
D_22_2_AI,2001.679175,59.775,13,1988.046854,redo?
D_22_3_AI,2147.394079,60.347,14,2131.559636,redo?
D_22_4_AI,1786.703843,59.7952,15,1772.523653,redo?
N_22_1_AI,2231.763672,60.3816,16,2212.796842,
N_22_2_AI,2329.305396,59.8393,17,2308.201836,redo?
N_22_3_AI,2370.777876,60.4834,18,2347.969034,redo?
N_22_4_AI,2346.89939,60.1796,19,2323.005618,redo?
