Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk1,11/23/2019 10:01:08 AM,OK,Unchecked,0,,25.0,°C,,2.216,mL,,60.018,g,,60.0177,g,,1.0,g/mL
2,junk2,11/23/2019 10:11:28 AM,OK,Unchecked,0,,25.0,°C,,2.208,mL,,60.145,g,,60.1452,g,,1.0,g/mL
3,junk3,11/23/2019 10:21:37 AM,OK,Unchecked,0,,25.0,°C,,2.197,mL,,59.936,g,,59.9361,g,,1.0,g/mL
4,crm,11/23/2019 10:31:48 AM,OK,Unchecked,0,,25.0,°C,,2.164,mL,,59.948,g,,59.9478,g,,1.0,g/mL
11/23/2019 10:42:40 AMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
