SampleID,TA,Mass,Sample.Index,TA_evap,notes
JUNk1,2256.577508,60.3459,1,2256.577508,
D_23_1_BC,2046.322923,60.1587,2,2045.154264,
D_23_2_BC,1909.281724,59.9653,3,1907.102178,
D_23_3_BC,1783.188992,59.9941,4,1780.137328,
D_23_4_BC,1699.595107,59.9616,5,1695.719178,
D_23_5_BC,1591.814797,60.0083,6,1587.279712,
N_23_1_BC,1972.774772,60.0491,7,1966.034083,
N_23_2_BC,2007.668622,60.0555,8,1999.669942,
N_23_3_BC,2049.596173,59.9802,9,2040.269228,
N_23_4_BC,2180.797945,60.0061,10,2169.639797,redo?
N_23_5_BC,2105.420978,60.0381,11,2093.458359,redo?
D_23_1_AI,2144.643497,60.3119,12,2131.247087,
D_23_2_AI,2095.689483,60.1227,13,2081.416909,
D_23_3_AI,2016.841083,60.0655,14,2001.969311,
D_23_4_AI,1926.340636,60.0789,15,1911.052219,
N_23_1_AI,2215.564619,59.9296,16,2196.735458,
N_23_2_AI,2227.663073,59.9572,17,2207.480395,
N_23_3_AI,2235.634042,60.2165,18,2214.125395,
N_23_4_AI,2191.562089,60.0466,19,2169.249805,
