Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk1,8/31/2026 10:35:25 AM,OK,Unchecked,0,,25.0,°C,,2.048,mL,,59.762,g,,59.7617,g,1.0,g/mL,
2,junk2,8/31/2026 10:45:27 AM,OK,Unchecked,0,,25.0,°C,,2.102,mL,,59.773,g,,59.7728,g,1.0,g/mL,
3,T24_1200_18March2026,8/31/2026 10:55:35 AM,OK,Unchecked,0,,25.0,°C,,2.018,mL,,60.207,g,,60.2070,g,1.0,g/mL,
4,S1,8/31/2026 11:05:25 AM,OK,Unchecked,0,,25.0,°C,,2.006,mL,,59.927,g,,59.9270,g,1.0,g/mL,
5,S2,8/31/2026 11:15:14 AM,OK,Unchecked,0,,25.0,°C,,2.014,mL,,60.283,g,,60.2832,g,1.0,g/mL,
6,S3,8/31/2026 11:25:02 AM,OK,Unchecked,0,,25.0,°C,,2.000,mL,,59.746,g,,59.7461,g,1.0,g/mL,
7,S4,8/31/2026 11:34:49 AM,OK,Unchecked,0,,25.0,°C,,2.014,mL,,60.223,g,,60.2227,g,1.0,g/mL,
8,S5,8/31/2026 11:44:39 AM,OK,Unchecked,0,,25.0,°C,,1.994,mL,,59.840,g,,59.8400,g,1.0,g/mL,
9,S6,8/31/2026 11:54:26 AM,OK,Unchecked,0,,25.0,°C,,1.994,mL,,59.732,g,,59.7319,g,1.0,g/mL,
10,T1,8/31/2026 12:04:11 PM,OK,Unchecked,0,,25.0,°C,,2.006,mL,,60.482,g,,60.4822,g,1.0,g/mL,
11,T2,8/31/2026 12:13:59 PM,OK,Unchecked,0,,25.0,°C,,1.976,mL,,59.657,g,,59.6570,g,1.0,g/mL,
12,T3,8/31/2026 12:23:43 PM,OK,Unchecked,0,,25.0,°C,,1.988,mL,,60.353,g,,60.3529,g,1.0,g/mL,
13,T4,8/31/2026 12:33:28 PM,OK,Unchecked,0,,25.0,°C,,1.976,mL,,59.719,g,,59.7191,g,1.0,g/mL,
14,T5,8/31/2026 12:43:15 PM,OK,Unchecked,0,,25.0,°C,,1.983,mL,,59.765,g,,59.7651,g,1.0,g/mL,
15,T6,8/31/2026 12:53:03 PM,OK,Unchecked,0,,25.0,°C,,1.977,mL,,59.815,g,,59.8151,g,1.0,g/mL,
16,T7,8/31/2026 1:02:54 PM,OK,Unchecked,0,,25.0,°C,,1.974,mL,,59.561,g,,59.5609,g,1.0,g/mL,
17,T8,8/31/2026 1:12:40 PM,OK,Unchecked,0,,25.0,°C,,1.970,mL,,59.871,g,,59.8711,g,1.0,g/mL,
18,T9,8/31/2026 1:22:27 PM,OK,Unchecked,0,,25.0,°C,,1.999,mL,,60.387,g,,60.3871,g,1.0,g/mL,
19,T10,8/31/2026 1:32:18 PM,OK,Unchecked,0,,25.0,°C,,1.978,mL,,60.090,g,,60.0904,g,1.0,g/mL,
20,T11,8/31/2026 1:42:06 PM,OK,Unchecked,0,,25.0,°C,,1.977,mL,,59.733,g,,59.7334,g,1.0,g/mL,
21,T12,8/31/2026 1:51:54 PM,OK,Unchecked,0,,25.0,°C,,1.982,mL,,60.253,g,,60.2528,g,1.0,g/mL,
22,T13,8/31/2026 2:01:42 PM,OK,Unchecked,0,,25.0,°C,,1.967,mL,,59.622,g,,59.6217,g,1.0,g/mL,
23,T14,8/31/2026 2:11:28 PM,OK,Unchecked,0,,25.0,°C,,1.990,mL,,59.892,g,,59.8924,g,1.0,g/mL,
24,T15,8/31/2026 2:21:16 PM,OK,Unchecked,0,,25.0,°C,,1.939,mL,,59.767,g,,59.7668,g,1.0,g/mL,
25,T16,8/31/2026 2:30:55 PM,OK,Unchecked,0,,25.0,°C,,2.010,mL,,60.353,g,,60.3534,g,1.0,g/mL,
26,T17,8/31/2026 2:40:46 PM,OK,Unchecked,0,,25.0,°C,,2.024,mL,,60.370,g,,60.3700,g,1.0,g/mL,
27,T18,8/31/2026 2:50:35 PM,OK,Unchecked,0,,25.0,°C,,1.997,mL,,60.342,g,,60.3419,g,1.0,g/mL,
28,T19,8/31/2026 3:00:24 PM,OK,Unchecked,0,,25.0,°C,,2.016,mL,,60.447,g,,60.4468,g,1.0,g/mL,
29,T20,8/31/2026 3:10:17 PM,OK,Unchecked,0,,25.0,°C,,1.978,mL,,59.792,g,,59.7922,g,1.0,g/mL,
30,T21,8/31/2026 3:20:03 PM,OK,Unchecked,0,,25.0,°C,,2.002,mL,,60.344,g,,60.3443,g,1.0,g/mL,
31,T22,8/31/2026 3:29:53 PM,OK,Unchecked,0,,25.0,°C,,2.000,mL,,60.064,g,,60.0635,g,1.0,g/mL,
32,T23,8/31/2026 3:39:45 PM,OK,Unchecked,0,,25.0,°C,,1.997,mL,,60.228,g,,60.2278,g,1.0,g/mL,
33,T24,8/31/2026 3:49:36 PM,OK,Unchecked,0,,25.0,°C,,1.979,mL,,59.656,g,,59.6562,g,1.0,g/mL,
8/31/2026 4:26:38 PMSystemInternal,,,,,,,,,,,,,,,,,,,,1/1
