Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk1,9/18/2026 10:23:32 AM,OK,Unchecked,0,,25.0,°C,,2.390,mL,,59.718,g,,59.7176,g,1.0,g/mL,
2,junk2,9/18/2026 10:34:19 AM,OK,Unchecked,0,,25.0,°C,,2.394,mL,,59.840,g,,59.8399,g,1.0,g/mL,
3,S1,9/18/2026 10:45:04 AM,OK,Unchecked,0,,25.0,°C,,2.370,mL,,59.906,g,,59.9063,g,1.0,g/mL,
4,S2,9/18/2026 10:55:41 AM,OK,Unchecked,0,,25.0,°C,,2.386,mL,,59.978,g,,59.9777,g,1.0,g/mL,
5,S3,9/18/2026 11:06:20 AM,OK,Unchecked,0,,25.0,°C,,2.366,mL,,59.743,g,,59.7427,g,1.0,g/mL,
6,S4,9/18/2026 11:16:56 AM,OK,Unchecked,0,,25.0,°C,,2.368,mL,,59.751,g,,59.7513,g,1.0,g/mL,
7,S5,9/18/2026 11:27:34 AM,OK,Unchecked,0,,25.0,°C,,2.358,mL,,59.750,g,,59.7504,g,1.0,g/mL,
8,S6,9/18/2026 11:38:06 AM,OK,Unchecked,0,,25.0,°C,,2.366,mL,,60.041,g,,60.0407,g,1.0,g/mL,
9,T1,9/18/2026 11:48:51 AM,OK,Unchecked,0,,25.0,°C,,2.330,mL,,59.616,g,,59.6162,g,1.0,g/mL,
10,T2,9/18/2026 11:59:29 AM,OK,Unchecked,0,,25.0,°C,,2.342,mL,,59.923,g,,59.9226,g,1.0,g/mL,
11,T3,9/18/2026 12:10:02 PM,OK,Unchecked,0,,25.0,°C,,2.338,mL,,59.645,g,,59.6449,g,1.0,g/mL,
12,T4,9/18/2026 12:20:41 PM,OK,Unchecked,0,,25.0,°C,,2.374,mL,,60.431,g,,60.4312,g,1.0,g/mL,
13,T5,9/18/2026 12:31:21 PM,OK,Unchecked,0,,25.0,°C,,2.358,mL,,60.107,g,,60.1068,g,1.0,g/mL,
14,T6,9/18/2026 12:42:05 PM,OK,Unchecked,0,,25.0,°C,,2.347,mL,,60.118,g,,60.1178,g,1.0,g/mL,
15,T7,9/18/2026 12:52:39 PM,OK,Unchecked,0,,25.0,°C,,2.356,mL,,59.926,g,,59.9256,g,1.0,g/mL,
16,T8,9/18/2026 1:03:18 PM,OK,Unchecked,0,,25.0,°C,,2.346,mL,,59.651,g,,59.6511,g,1.0,g/mL,
17,T9,9/18/2026 1:13:46 PM,OK,Unchecked,0,,25.0,°C,,2.334,mL,,59.799,g,,59.7986,g,1.0,g/mL,
18,T10,9/18/2026 1:24:23 PM,OK,Unchecked,0,,25.0,°C,,2.325,mL,,59.749,g,,59.7490,g,1.0,g/mL,
19,T11,9/18/2026 1:34:52 PM,OK,Unchecked,0,,25.0,°C,,2.338,mL,,59.701,g,,59.7007,g,1.0,g/mL,
20,T12,9/18/2026 1:45:29 PM,OK,Unchecked,0,,25.0,°C,,2.359,mL,,60.067,g,,60.0674,g,1.0,g/mL,
21,T13,9/18/2026 1:56:02 PM,OK,Unchecked,0,,25.0,°C,,2.330,mL,,59.897,g,,59.8970,g,1.0,g/mL,
22,T14,9/18/2026 2:06:30 PM,OK,Unchecked,0,,25.0,°C,,2.336,mL,,59.626,g,,59.6261,g,1.0,g/mL,
23,T15,9/18/2026 2:16:58 PM,OK,Unchecked,0,,25.0,°C,,2.368,mL,,60.308,g,,60.3080,g,1.0,g/mL,
24,T16,9/18/2026 2:27:33 PM,OK,Unchecked,0,,25.0,°C,,2.322,mL,,59.649,g,,59.6490,g,1.0,g/mL,
25,T17,9/18/2026 2:38:08 PM,OK,Unchecked,0,,25.0,°C,,2.356,mL,,59.959,g,,59.9588,g,1.0,g/mL,
26,T18,9/18/2026 2:48:46 PM,OK,Unchecked,0,,25.0,°C,,2.338,mL,,60.011,g,,60.0109,g,1.0,g/mL,
27,T19,9/18/2026 2:59:22 PM,OK,Unchecked,0,,25.0,°C,,2.360,mL,,60.322,g,,60.3222,g,1.0,g/mL,
28,T20,9/18/2026 3:09:56 PM,OK,Unchecked,0,,25.0,°C,,2.318,mL,,59.732,g,,59.7319,g,1.0,g/mL,
29,T21,9/18/2026 3:20:27 PM,OK,Unchecked,0,,25.0,°C,,2.355,mL,,60.418,g,,60.4183,g,1.0,g/mL,
30,T22,9/18/2026 3:31:14 PM,OK,Unchecked,0,,25.0,°C,,2.368,mL,,60.347,g,,60.3472,g,1.0,g/mL,
31,T23,9/18/2026 3:41:50 PM,OK,Unchecked,0,,25.0,°C,,2.346,mL,,60.099,g,,60.0991,g,1.0,g/mL,
32,T24,9/18/2026 3:52:21 PM,OK,Unchecked,0,,25.0,°C,,2.349,mL,,60.153,g,,60.1527,g,1.0,g/mL,
SystemInternal9/18/2026 5:27:56 PM,,,,,,,,,,,,,,,,,,,,1/1
