SampleID,TA,Mass,Sample.Index,TA_evap
JUNK,2260.965408,59.9882,1,2260.965408
D_31_3_AI,2172.999993,60.0173,2,2171.758987
N_31_2_BC,2052.062533,60.1008,3,2049.719996
D_31_4_AI,2115.836716,59.8332,4,2112.215774
D_31_4_BC,2091.009558,59.8798,5,2086.241008
N_32_2_AI,2144.931021,60.2019,6,2138.820106
D_31_5_BC,2011.134604,59.869,7,2004.262846
N_32_4_AI,2143.065844,60.2444,8,2134.527733
N_32_3_AI,2200.838572,60.057,9,2190.82338
N_32_2_BC,2008.3808,60.243,10,1998.104833
D_29_3_BC,1914.188141,59.9295,11,1903.312073
D_27_5_BC,2147.892431,59.7429,12,2134.475726
N_27_5_BC,2295.291731,60.0878,13,2279.659779
N_27_4_AI,2280.105365,60.0794,14,2263.292337
D_27_4_AI,2282.244532,59.8384,15,2264.13148
N_27_4_BC,2349.299678,59.9558,16,2329.333959
N_30_2_AI,2400.177769,59.9591,17,2378.432105
N_30_4_AI,2528.347098,60.0868,18,2504.02231
N_30_5_BC,2495.553247,60.2037,19,2470.146031
D_30_3_AI,2370.034323,60.084,20,2344.578895
N_30_3_AI,2622.561649,60.0115,21,2592.928184
N_30_4_BC,2524.584983,59.9195,22,2494.649193
N_24_1_AI,2159.179798,59.9312,23,2132.372825
N_30_1_AI,2176.173161,59.8693,24,2147.943052
N_29_1_AI,2265.602999,59.9188,25,2234.952225
