Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,Junk1,12/16/2022 9:00:58 AM,OK,Unchecked,0,,25.0,°C,,2.486,mL,,60.442,g,,60.4425,g,,1.0,g/mL
2,Junk2,12/16/2022 9:11:51 AM,OK,Unchecked,0,,25.0,°C,,2.478,mL,,60.427,g,,60.4274,g,,1.0,g/mL
3,A5_D_CH3_C3,12/16/2022 9:22:33 AM,OK,Unchecked,0,,25.0,°C,,2.438,mL,,59.828,g,,59.8276,g,,1.0,g/mL
4,A6_D_CH3_C3,12/16/2022 9:33:10 AM,OK,Unchecked,0,,25.0,°C,,2.467,mL,,59.804,g,,59.8043,g,,1.0,g/mL
5,A5_L_CH5_BLANK,12/16/2022 9:43:51 AM,OK,Unchecked,0,,25.0,°C,,2.422,mL,,59.657,g,,59.6566,g,,1.0,g/mL
6,A5_L_CH3_C3,12/16/2022 9:54:27 AM,OK,Unchecked,0,,25.0,°C,,2.426,mL,,59.870,g,,59.8701,g,,1.0,g/mL
7,A6_D_CH8_C28,12/16/2022 10:05:03 AM,OK,Unchecked,0,,25.0,°C,,2.480,mL,,59.686,g,,59.6863,g,,1.0,g/mL
8,A6_L_CH3_C23,12/16/2022 10:15:48 AM,OK,Unchecked,0,,25.0,°C,,2.465,mL,,59.566,g,,59.5664,g,,1.0,g/mL
9,A6_L_CH5_BLANK,12/16/2022 10:26:29 AM,OK,Unchecked,0,,25.0,°C,,2.534,mL,,60.490,g,,60.4898,g,,1.0,g/mL
10,A6_L_CH7_C27,12/16/2022 10:37:19 AM,OK,Unchecked,0,,25.0,°C,,2.460,mL,,59.536,g,,59.5360,g,,1.0,g/mL
11,A6_TO_2_CH7,12/16/2022 10:47:58 AM,OK,Unchecked,0,,25.0,°C,,2.437,mL,,59.780,g,,59.7802,g,,1.0,g/mL
12,A6_D_CH7_C26,12/16/2022 10:58:36 AM,OK,Unchecked,0,,25.0,°C,,2.476,mL,,60.133,g,,60.1328,g,,1.0,g/mL
13,A6_L_CH6_C25,12/16/2022 11:09:18 AM,OK,Unchecked,0,,25.0,°C,,2.467,mL,,59.793,g,,59.7929,g,,1.0,g/mL
14,A6_TO_3_CH8,12/16/2022 11:20:01 AM,OK,Unchecked,0,,25.0,°C,,2.460,mL,,60.440,g,,60.4399,g,,1.0,g/mL
15,A6_TO_1_CH5,12/16/2022 11:30:42 AM,OK,Unchecked,0,,25.0,°C,,2.428,mL,,59.608,g,,59.6083,g,,1.0,g/mL
16,A7_TO_2_CH8,12/16/2022 11:41:20 AM,OK,Unchecked,0,,25.0,°C,,2.444,mL,,59.931,g,,59.9314,g,,1.0,g/mL
17,A6_L_CH8_C28,12/16/2022 11:51:59 AM,OK,Unchecked,0,,25.0,°C,,2.426,mL,,59.852,g,,59.8524,g,,1.0,g/mL
18,A7_L_CH9_V5,12/16/2022 12:02:36 PM,OK,Unchecked,0,,25.0,°C,,2.424,mL,,59.753,g,,59.7532,g,,1.0,g/mL
19,V7_L_CH8_V4,12/16/2022 12:13:15 PM,OK,Unchecked,0,,25.0,°C,,2.459,mL,,60.231,g,,60.2309,g,,1.0,g/mL
20,A7_L_CH10_V12,12/16/2022 12:23:56 PM,OK,Unchecked,0,,25.0,°C,,2.416,mL,,59.666,g,,59.6664,g,,1.0,g/mL
21,A7_D_CH9_V5,12/16/2022 12:34:30 PM,OK,Unchecked,0,,25.0,°C,,2.417,mL,,59.832,g,,59.8325,g,,1.0,g/mL
22,A7_D_CH6_BLANK,12/16/2022 12:45:05 PM,OK,Unchecked,0,,25.0,°C,,2.447,mL,,59.605,g,,59.6048,g,,1.0,g/mL
23,A7_L_CH6_BLANK,12/16/2022 12:55:44 PM,OK,Unchecked,0,,25.0,°C,,2.480,mL,,60.337,g,,60.3371,g,,1.0,g/mL
24,A7_L_CH5_V15,12/16/2022 1:06:27 PM,OK,Unchecked,0,,25.0,°C,,2.440,mL,,59.724,g,,59.7238,g,,1.0,g/mL
25,A7_L_CH3_V19,12/16/2022 1:17:05 PM,OK,Unchecked,0,,25.0,°C,,2.472,mL,,59.829,g,,59.8294,g,,1.0,g/mL
26,A7_L_CH1_V13,12/16/2022 1:27:47 PM,OK,Unchecked,0,,25.0,°C,,2.461,mL,,60.466,g,,60.4665,g,,1.0,g/mL
27,A7_D_CH10_V12,12/16/2022 1:38:28 PM,OK,Unchecked,0,,25.0,°C,,2.412,mL,,59.987,g,,59.9869,g,,1.0,g/mL
28,A7_L_CH2_V3,12/16/2022 1:49:03 PM,OK,Unchecked,0,,25.0,°C,,2.430,mL,,60.038,g,,60.0383,g,,1.0,g/mL
29,A7_TO_3_CH10,12/16/2022 1:59:42 PM,OK,Unchecked,0,,25.0,°C,,2.433,mL,,59.669,g,,59.6694,g,,1.0,g/mL
30,A7_D_CH1_V13,12/16/2022 2:10:20 PM,OK,Unchecked,0,,25.0,°C,,2.427,mL,,60.099,g,,60.0990,g,,1.0,g/mL
31,A7_D_CH7_V16,12/16/2022 2:20:58 PM,OK,Unchecked,0,,25.0,°C,,2.422,mL,,59.662,g,,59.6621,g,,1.0,g/mL
32,A7_L_CH7_V16,12/16/2022 2:31:35 PM,OK,Unchecked,0,,25.0,°C,,2.435,mL,,60.056,g,,60.0558,g,,1.0,g/mL
33,A7_D_CH3_V19,12/16/2022 2:42:13 PM,OK,Unchecked,0,,25.0,°C,,2.463,mL,,60.500,g,,60.5004,g,,1.0,g/mL
34,A7_D_CH5_V15,12/16/2022 2:52:55 PM,OK,Unchecked,0,,25.0,°C,,2.454,mL,,60.367,g,,60.3672,g,,1.0,g/mL
35,A7_TO_1_CH5,12/16/2022 3:03:36 PM,OK,Unchecked,0,,25.0,°C,,2.450,mL,,59.936,g,,59.9364,g,,1.0,g/mL
36,A7_D_CH8_V4,12/16/2022 3:14:17 PM,OK,Unchecked,0,,25.0,°C,,2.414,mL,,59.626,g,,59.6262,g,,1.0,g/mL
12/16/2022 3:35:17 PMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
