Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-65.1,NaN,21.5,,
0.0005,1,-65.2,0.0005,21.5,,
0.0025,2,-65.1,0.0020,21.5,,
0.0050,3,-65.1,0.0025,21.5,,
0.0085,4,-65.1,0.0030,21.5,,
0.0150,5,-64.9,0.0060,21.5,,
0.0230,6,-64.6,0.0075,21.5,,
0.0305,7,-64.2,0.0075,21.5,,
0.0390,8,-63.7,0.0085,21.5,,
0.0475,9,-63.0,0.0085,21.5,,
0.0560,10,-61.9,0.0075,21.5,,
0.0645,11,-60.9,0.0075,21.5,,
0.0725,12,-60.0,0.0075,21.5,,
0.0805,13,-58.9,0.0080,21.5,,
0.0885,14,-57.8,0.0080,21.5,,
0.0970,15,-56.3,0.0085,21.5,,
0.1055,16,-55.0,0.0075,21.5,,
0.1140,17,-53.6,0.0075,21.5,,
0.1225,18,-51.9,0.0075,21.5,,
0.1300,19,-50.7,0.0075,21.5,,
0.1385,20,-48.8,0.0085,21.5,,
0.1470,21,-47.3,0.0075,21.5,,
0.1550,22,-45.5,0.0075,21.5,,
0.1635,23,-43.5,0.0075,21.5,,
0.1720,24,-41.5,0.0075,21.5,,
0.1795,25,-39.5,0.0075,21.5,,
0.1880,26,-37.6,0.0085,21.5,,
0.1965,27,-35.3,0.0075,21.5,,
0.2050,28,-32.9,0.0075,21.5,,
0.2135,29,-30.4,0.0075,21.5,,
0.2215,30,-28.0,0.0080,21.5,,
0.2295,31,-25.2,0.0080,21.5,,
0.2375,32,-22.6,0.0080,21.5,,
0.2460,33,-20.0,0.0075,21.5,,
0.2545,34,-17.5,0.0075,21.5,,
0.2630,35,-15.0,0.0075,21.5,,
0.2715,36,-13.0,0.0085,21.5,,
0.2790,37,-10.8,0.0075,21.5,,
0.2875,38,-9.0,0.0085,21.5,,
0.2955,39,-7.4,0.0075,21.5,,
0.3040,40,-5.7,0.0075,21.5,,
0.3125,41,-4.0,0.0075,21.5,,
0.3210,42,-2.6,0.0075,21.5,,
0.3285,43,-1.4,0.0075,21.5,,
0.3370,44,-0.3,0.0085,21.5,,
0.3455,45,1.0,0.0085,21.5,,
0.3535,46,2.5,0.0075,21.5,,
0.3620,47,3.8,0.0075,21.5,,
0.3705,48,4.8,0.0075,21.5,,
0.3790,49,6.0,0.0075,21.5,,
0.3865,50,6.9,0.0075,21.5,,
0.3950,51,8.0,0.0085,21.5,,
0.4035,52,9.0,0.0075,21.5,,
0.4115,53,10.0,0.0075,21.5,,
0.4200,54,11.1,0.0075,21.5,,
0.4285,55,12.1,0.0075,21.5,,
0.4360,56,13.0,0.0075,21.5,,
0.4445,57,13.9,0.0085,21.5,,
0.4530,58,14.8,0.0075,21.5,,
0.4615,59,15.8,0.0075,21.5,,
0.4695,60,16.6,0.0075,21.5,,
0.4780,61,17.4,0.0075,21.5,,
0.4855,62,18.3,0.0075,21.5,,
0.4940,63,19.2,0.0085,21.5,,
0.5025,64,20.2,0.0075,21.5,,
0.5110,65,21.0,0.0075,21.5,,
0.5195,66,21.8,0.0075,21.5,,
0.5275,67,22.8,0.0075,21.5,,
0.5355,68,23.5,0.0080,21.5,,
0.5435,69,24.6,0.0080,21.5,,
0.5520,70,25.3,0.0075,21.5,,
0.5605,71,26.1,0.0075,21.5,,
0.5690,72,27.1,0.0075,21.5,,
0.5775,73,28.0,0.0075,21.5,,
0.5850,74,28.9,0.0075,21.5,,
0.5935,75,29.7,0.0085,21.5,,
0.6020,76,30.4,0.0075,21.5,,
0.6100,77,31.4,0.0075,21.5,,
0.6185,78,32.2,0.0075,21.5,,
0.6270,79,33.1,0.0085,21.5,,
0.6345,80,33.8,0.0075,21.5,,
0.6430,81,34.8,0.0085,21.5,,
0.6515,82,35.9,0.0075,21.5,,
0.6600,83,36.7,0.0075,21.5,,
0.6680,84,37.5,0.0075,21.5,,
0.6765,85,38.5,0.0075,21.5,,
0.6840,86,39.3,0.0075,21.5,,
0.6925,87,40.2,0.0085,21.5,,
0.7010,88,40.9,0.0075,21.5,,
0.7095,89,41.8,0.0075,21.5,,
0.7180,90,42.7,0.0075,21.5,,
0.7265,91,43.5,0.0075,21.5,,
0.7340,92,44.4,0.0075,21.5,,
0.7425,93,45.2,0.0085,21.5,,
0.7505,94,46.3,0.0075,21.5,,
0.7590,95,47.3,0.0075,21.5,,
0.7675,96,48.2,0.0075,21.5,,
0.7760,97,49.0,0.0085,21.5,,
0.7835,98,49.8,0.0075,21.5,,
0.7920,99,51.0,0.0085,21.5,,
0.8005,100,51.8,0.0075,21.5,,
0.8090,101,52.7,0.0075,21.5,,
0.8170,102,53.8,0.0075,21.5,,
0.8255,103,54.5,0.0085,21.5,,
0.8330,104,55.4,0.0075,21.5,,
0.8415,105,56.4,0.0085,21.5,,
0.8500,106,57.3,0.0075,21.5,,
0.8585,107,58.4,0.0075,21.5,,
0.8670,108,59.3,0.0075,21.5,,
0.8750,109,60.2,0.0075,21.5,,
0.8830,110,61.1,0.0080,21.5,,
0.8910,111,61.9,0.0080,21.5,,
0.8995,112,63.0,0.0075,21.5,,
0.9080,113,64.1,0.0075,21.5,,
0.9165,114,64.9,0.0075,21.5,,
0.9250,115,65.9,0.0075,21.5,,
0.9325,116,66.6,0.0075,21.5,,
0.9410,117,67.6,0.0085,21.5,,
0.9490,118,68.7,0.0075,21.5,,
0.9575,119,69.6,0.0075,21.5,,
0.9660,120,70.6,0.0075,21.5,,
0.9745,121,71.7,0.0075,21.5,,
0.9820,122,72.7,0.0075,21.5,,
