Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-55.7,NaN,20.9,,
0.0005,1,-55.9,0.0005,20.9,,
0.0025,2,-55.7,0.0020,20.9,,
0.0050,3,-55.8,0.0025,20.9,,
0.0085,4,-55.7,0.0030,20.9,,
0.0150,5,-55.4,0.0060,20.9,,
0.0230,6,-54.7,0.0075,20.9,,
0.0305,7,-54.0,0.0075,20.9,,
0.0390,8,-53.1,0.0085,20.9,,
0.0475,9,-52.0,0.0075,20.9,,
0.0560,10,-50.6,0.0075,20.9,,
0.0645,11,-49.1,0.0075,20.9,,
0.0725,12,-47.8,0.0075,20.9,,
0.0805,13,-46.2,0.0080,20.9,,
0.0885,14,-44.5,0.0080,20.9,,
0.0970,15,-42.5,0.0075,20.9,,
0.1055,16,-40.5,0.0075,20.9,,
0.1140,17,-38.5,0.0075,20.9,,
0.1225,18,-36.1,0.0075,20.9,,
0.1300,19,-34.0,0.0075,20.9,,
0.1385,20,-31.5,0.0085,20.9,,
0.1470,21,-28.9,0.0075,20.9,,
0.1550,22,-26.2,0.0075,20.9,,
0.1635,23,-23.2,0.0075,20.9,,
0.1720,24,-20.3,0.0075,20.9,,
0.1795,25,-17.6,0.0075,20.9,,
0.1880,26,-14.8,0.0085,20.9,,
0.1965,27,-12.2,0.0075,20.9,,
0.2050,28,-9.6,0.0075,20.9,,
0.2130,29,-7.3,0.0075,20.9,,
0.2215,30,-5.2,0.0075,20.9,,
0.2290,31,-3.3,0.0075,20.9,,
0.2375,32,-1.6,0.0085,20.9,,
0.2460,33,0.3,0.0075,20.9,,
0.2545,34,1.7,0.0075,20.9,,
0.2630,35,3.2,0.0075,20.9,,
0.2715,36,4.8,0.0075,20.9,,
0.2790,37,6.0,0.0075,20.9,,
0.2875,38,7.5,0.0085,20.9,,
0.2955,39,8.6,0.0075,20.9,,
0.3040,40,9.7,0.0075,20.9,,
0.3125,41,11.1,0.0075,20.9,,
0.3210,42,12.3,0.0075,20.9,,
0.3285,43,13.2,0.0075,20.9,,
0.3370,44,14.3,0.0085,20.9,,
