Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-55.7,NaN,21.1,,
0.0005,1,-55.9,0.0005,21.1,,
0.0025,2,-55.9,0.0020,21.1,,
0.0050,3,-55.8,0.0025,21.1,,
0.0085,4,-55.8,0.0030,21.1,,
0.0150,5,-55.5,0.0060,21.1,,
0.0230,6,-55.1,0.0080,21.1,,
0.0305,7,-54.3,0.0075,21.1,,
0.0390,8,-53.3,0.0085,21.1,,
0.0475,9,-52.3,0.0075,21.1,,
0.0560,10,-51.0,0.0075,21.1,,
0.0645,11,-49.5,0.0075,21.1,,
0.0725,12,-48.0,0.0075,21.1,,
0.0805,13,-46.6,0.0080,21.1,,
0.0885,14,-45.0,0.0080,21.1,,
0.0970,15,-43.2,0.0075,21.1,,
0.1055,16,-41.1,0.0075,21.1,,
0.1140,17,-39.1,0.0075,21.1,,
0.1225,18,-37.0,0.0075,21.1,,
0.1300,19,-34.8,0.0075,21.1,,
0.1385,20,-32.3,0.0085,21.1,,
0.1465,21,-29.6,0.0075,21.1,,
0.1550,22,-27.0,0.0075,21.1,,
0.1635,23,-24.2,0.0075,21.1,,
0.1720,24,-21.0,0.0075,21.1,,
0.1795,25,-18.4,0.0075,21.1,,
0.1880,26,-15.5,0.0085,21.1,,
0.1965,27,-12.8,0.0085,21.1,,
0.2050,28,-10.5,0.0075,21.1,,
0.2130,29,-8.0,0.0075,21.1,,
0.2215,30,-5.8,0.0075,21.1,,
0.2290,31,-4.0,0.0075,21.1,,
0.2375,32,-2.3,0.0085,21.1,,
0.2460,33,-0.8,0.0085,21.1,,
0.2545,34,0.9,0.0075,21.1,,
0.2630,35,2.4,0.0075,21.1,,
0.2710,36,3.7,0.0075,21.1,,
0.2790,37,5.0,0.0080,21.1,,
0.2870,38,6.3,0.0080,21.1,,
0.2955,39,7.7,0.0085,21.1,,
0.3040,40,8.8,0.0075,21.1,,
0.3125,41,9.8,0.0075,21.1,,
0.3210,42,11.1,0.0075,21.1,,
0.3290,43,12.0,0.0080,21.1,,
0.3370,44,13.4,0.0080,21.1,,
0.3450,45,14.5,0.0080,21.1,,
0.3535,46,15.4,0.0075,21.1,,
0.3620,47,16.5,0.0075,21.1,,
0.3705,48,17.6,0.0075,21.1,,
0.3790,49,18.4,0.0085,21.1,,
0.3865,50,19.4,0.0075,21.1,,
0.3950,51,20.2,0.0085,21.1,,
0.4030,52,21.3,0.0075,21.1,,
0.4115,53,22.2,0.0075,21.1,,
0.4200,54,23.0,0.0075,21.1,,
0.4285,55,23.9,0.0075,21.1,,
0.4360,56,24.5,0.0075,21.1,,
0.4445,57,25.6,0.0085,21.1,,
0.4530,58,26.4,0.0075,21.1,,
0.4615,59,27.2,0.0075,21.1,,
0.4695,60,28.1,0.0075,21.1,,
0.4780,61,28.9,0.0075,21.1,,
0.4855,62,29.8,0.0075,21.1,,
0.4940,63,30.7,0.0085,21.1,,
0.5025,64,31.6,0.0085,21.1,,
0.5110,65,32.5,0.0075,21.1,,
0.5190,66,33.4,0.0075,21.1,,
0.5275,67,34.1,0.0075,21.1,,
0.5350,68,34.9,0.0075,21.1,,
0.5435,69,35.7,0.0085,21.1,,
0.5520,70,36.5,0.0085,21.1,,
0.5605,71,37.4,0.0075,21.1,,
0.5690,72,38.1,0.0075,21.1,,
0.5775,73,38.9,0.0075,21.1,,
0.5855,74,39.6,0.0080,21.1,,
0.5935,75,40.5,0.0080,21.1,,
0.6015,76,41.4,0.0080,21.1,,
0.6100,77,42.3,0.0075,21.1,,
0.6185,78,43.1,0.0075,21.1,,
0.6270,79,44.2,0.0075,21.1,,
0.6355,80,45.1,0.0075,21.1,,
0.6430,81,45.8,0.0075,21.1,,
0.6510,82,46.5,0.0080,21.1,,
0.6595,83,47.3,0.0085,21.1,,
0.6680,84,48.2,0.0075,21.1,,
0.6765,85,49.1,0.0075,21.1,,
0.6850,86,49.8,0.0075,21.1,,
0.6925,87,50.6,0.0075,21.1,,
0.7010,88,51.4,0.0085,21.1,,
0.7095,89,52.3,0.0085,21.1,,
0.7175,90,53.2,0.0075,21.1,,
0.7260,91,53.9,0.0075,21.1,,
0.7345,92,54.9,0.0075,21.1,,
0.7420,93,55.5,0.0075,21.1,,
0.7505,94,56.5,0.0085,21.1,,
0.7590,95,57.3,0.0085,21.1,,
0.7675,96,58.1,0.0075,21.1,,
0.7755,97,59.2,0.0075,21.1,,
0.7840,98,60.2,0.0075,21.1,,
0.7915,99,60.9,0.0075,21.1,,
0.8000,100,61.8,0.0085,21.1,,
0.8085,101,62.6,0.0085,21.1,,
0.8170,102,63.6,0.0075,21.1,,
0.8255,103,64.5,0.0075,21.1,,
0.8335,104,65.4,0.0075,21.1,,
0.8415,105,66.1,0.0080,21.1,,
0.8495,106,66.7,0.0080,21.1,,
0.8580,107,67.7,0.0085,21.1,,
0.8665,108,68.6,0.0075,21.1,,
0.8750,109,69.4,0.0075,21.1,,
0.8835,110,70.4,0.0075,21.1,,
0.8920,111,71.2,0.0085,21.1,,
0.8995,112,72.2,0.0075,21.1,,
0.9075,113,73.2,0.0080,21.1,,
0.9160,114,74.0,0.0075,21.1,,
0.9245,115,75.1,0.0075,21.1,,
0.9330,116,76.1,0.0075,21.1,,
0.9415,117,77.0,0.0085,21.1,,
0.9490,118,77.9,0.0075,21.1,,
0.9575,119,78.7,0.0085,21.1,,
0.9660,120,79.9,0.0075,21.1,,
0.9740,121,80.8,0.0075,21.1,,
0.9825,122,81.7,0.0075,21.1,,
0.9900,123,82.7,0.0075,21.1,,
0.9985,124,83.6,0.0085,21.1,,
1.0070,125,84.8,0.0085,21.1,,
1.0155,126,85.8,0.0075,21.1,,
1.0240,127,86.8,0.0075,21.1,,
1.0325,128,88.1,0.0075,21.1,,
1.0405,129,89.0,0.0080,21.1,,
1.0480,130,90.2,0.0075,21.1,,
1.0565,131,91.2,0.0085,21.1,,
1.0650,132,92.5,0.0075,21.1,,
1.0735,133,93.9,0.0075,21.1,,
1.0820,134,95.2,0.0075,21.1,,
1.0905,135,96.3,0.0075,21.1,,
1.0980,136,97.5,0.0075,21.1,,
1.1065,137,98.8,0.0085,21.1,,
1.1145,138,100.4,0.0075,21.1,,
1.1230,139,101.7,0.0075,21.1,,
1.1315,140,102.9,0.0075,21.1,,
1.1400,141,104.5,0.0075,21.1,,
1.1475,142,105.8,0.0075,21.1,,
1.1560,143,107.4,0.0085,21.1,,
1.1645,144,109.2,0.0085,21.1,,
1.1725,145,110.7,0.0075,21.1,,
1.1810,146,112.6,0.0075,21.1,,
1.1895,147,114.5,0.0075,21.1,,
1.1970,148,116.1,0.0075,21.1,,
1.2055,149,118.2,0.0085,21.1,,
1.2140,150,120.3,0.0085,21.1,,
1.2225,151,122.7,0.0075,21.1,,
1.2305,152,125.3,0.0075,21.1,,
1.2390,153,127.8,0.0075,21.1,,
1.2475,154,130.4,0.0075,21.1,,
1.2550,155,133.4,0.0075,21.1,,
