Task,T2045,,,,,
Scope 1/1, Sample 1/32 (JUNK1),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-65.1,21.5,NaN,,
0.0005,1,-65.2,21.5,0.0005,,
0.0025,2,-65.1,21.5,0.002,,
0.005,3,-65.1,21.5,0.0025,,
0.0085,4,-65.1,21.5,0.003,,
0.015,5,-64.9,21.5,0.006,,
0.023,6,-64.6,21.5,0.0075,,
0.0305,7,-64.2,21.5,0.0075,,
0.039,8,-63.7,21.5,0.0085,,
0.0475,9,-63,21.5,0.0085,,
0.056,10,-61.9,21.5,0.0075,,
0.0645,11,-60.9,21.5,0.0075,,
0.0725,12,-60,21.5,0.0075,,
0.0805,13,-58.9,21.5,0.008,,
0.0885,14,-57.8,21.5,0.008,,
0.097,15,-56.3,21.5,0.0085,,
0.1055,16,-55,21.5,0.0075,,
0.114,17,-53.6,21.5,0.0075,,
0.1225,18,-51.9,21.5,0.0075,,
0.13,19,-50.7,21.5,0.0075,,
0.1385,20,-48.8,21.5,0.0085,,
0.147,21,-47.3,21.5,0.0075,,
0.155,22,-45.5,21.5,0.0075,,
0.1635,23,-43.5,21.5,0.0075,,
0.172,24,-41.5,21.5,0.0075,,
0.1795,25,-39.5,21.5,0.0075,,
0.188,26,-37.6,21.5,0.0085,,
0.1965,27,-35.3,21.5,0.0075,,
0.205,28,-32.9,21.5,0.0075,,
0.2135,29,-30.4,21.5,0.0075,,
0.2215,30,-28,21.5,0.008,,
0.2295,31,-25.2,21.5,0.008,,
0.2375,32,-22.6,21.5,0.008,,
0.246,33,-20,21.5,0.0075,,
0.2545,34,-17.5,21.5,0.0075,,
0.263,35,-15,21.5,0.0075,,
0.2715,36,-13,21.5,0.0085,,
0.279,37,-10.8,21.5,0.0075,,
0.2875,38,-9,21.5,0.0085,,
0.2955,39,-7.4,21.5,0.0075,,
0.304,40,-5.7,21.5,0.0075,,
0.3125,41,-4,21.5,0.0075,,
0.321,42,-2.6,21.5,0.0075,,
0.3285,43,-1.4,21.5,0.0075,,
0.337,44,-0.3,21.5,0.0085,,
0.3455,45,1,21.5,0.0085,,
0.3535,46,2.5,21.5,0.0075,,
0.362,47,3.8,21.5,0.0075,,
0.3705,48,4.8,21.5,0.0075,,
0.379,49,6,21.5,0.0075,,
0.3865,50,6.9,21.5,0.0075,,
0.395,51,8,21.5,0.0085,,
0.4035,52,9,21.5,0.0075,,
0.4115,53,10,21.5,0.0075,,
0.42,54,11.1,21.5,0.0075,,
0.4285,55,12.1,21.5,0.0075,,
0.436,56,13,21.5,0.0075,,
0.4445,57,13.9,21.5,0.0085,,
0.453,58,14.8,21.5,0.0075,,
0.4615,59,15.8,21.5,0.0075,,
0.4695,60,16.6,21.5,0.0075,,
0.478,61,17.4,21.5,0.0075,,
0.4855,62,18.3,21.5,0.0075,,
0.494,63,19.2,21.5,0.0085,,
0.5025,64,20.2,21.5,0.0075,,
0.511,65,21,21.5,0.0075,,
0.5195,66,21.8,21.5,0.0075,,
0.5275,67,22.8,21.5,0.0075,,
0.5355,68,23.5,21.5,0.008,,
0.5435,69,24.6,21.5,0.008,,
0.552,70,25.3,21.5,0.0075,,
0.5605,71,26.1,21.5,0.0075,,
0.569,72,27.1,21.5,0.0075,,
0.5775,73,28,21.5,0.0075,,
0.585,74,28.9,21.5,0.0075,,
