Table of Measured Values,,,,,,
Task,T407,,,,,
Scope 1/1, Sample 1/23 (Junk),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-70.1,19.7,NaN,,
0.0005,1,-70,19.7,0.0005,,
0.0025,2,-70.1,19.7,0.002,,
0.005,3,-70,19.7,0.0025,,
0.009,4,-70,19.7,0.0035,,
0.015,5,-70.1,19.7,0.0055,,
0.0235,6,-70,19.7,0.0075,,
0.0315,7,-70,19.7,0.008,,
0.0395,8,-69.5,19.7,0.008,,
0.048,9,-69.1,19.7,0.0075,,
0.0565,10,-68.5,19.7,0.0075,,
0.065,11,-67.8,19.7,0.0075,,
0.0725,12,-67.2,19.7,0.0075,,
0.081,13,-66.3,19.7,0.0085,,
0.0895,14,-65.4,19.7,0.0075,,
0.098,15,-64.3,19.7,0.0075,,
0.1065,16,-63.2,19.7,0.0075,,
0.115,17,-62.2,19.7,0.0075,,
0.1225,18,-61.1,19.7,0.0075,,
0.131,19,-59.9,19.7,0.0085,,
0.1395,20,-58.6,19.7,0.0075,,
0.148,21,-57.1,19.7,0.0075,,
0.156,22,-55.6,19.7,0.0075,,
0.1645,23,-54.2,19.7,0.0085,,
0.172,24,-52.5,19.7,0.0075,,
0.1805,25,-50.6,19.7,0.0075,,
0.189,26,-48.9,19.7,0.0075,,
0.1975,27,-46.9,19.7,0.0075,,
0.206,28,-45,19.7,0.0075,,
0.2145,29,-43.2,19.7,0.0085,,
0.222,30,-41,19.7,0.0075,,
0.2305,31,-38.8,19.7,0.0075,,
0.239,32,-36.6,19.7,0.0075,,
0.2475,33,-34.7,19.7,0.0075,,
0.2555,34,-32.9,19.7,0.0075,,
0.2635,35,-31.2,19.7,0.008,,
0.2715,36,-29.4,19.7,0.008,,
0.28,37,-27.7,19.7,0.0075,,
0.2885,38,-26,19.7,0.0075,,
0.297,39,-24.5,19.7,0.0075,,
0.3055,40,-22.9,19.7,0.0075,,
0.313,41,-21.6,19.7,0.0075,,
0.3215,42,-20.2,19.7,0.0085,,
0.33,43,-18.9,19.7,0.0075,,
0.3385,44,-17.5,19.7,0.0075,,
0.347,45,-16.4,19.7,0.0075,,
0.3545,46,-15.2,19.7,0.0075,,
0.363,47,-13.9,19.7,0.0085,,
0.371,48,-12.7,19.7,0.0075,,
0.3795,49,-11.6,19.7,0.0075,,
0.388,50,-10.5,19.7,0.0075,,
0.3965,51,-9.4,19.7,0.0075,,
0.404,52,-8.4,19.7,0.0075,,
0.4125,53,-7.3,19.7,0.0085,,
0.421,54,-6.2,19.7,0.0075,,
