"SampleID","TA","Mass","Sample.Index","TA_evap"
"Junk1",2342.92883213386,60.4425,1,2342.92883213386
"Junk2",2307.20906130462,60.4274,2,2305.89140907086
"A5_D_CH3_C3",2290.75142612681,59.8276,3,2288.13641308329
"A6_D_CH3_C3",2352.38741059521,59.8043,4,2348.36164777046
"A5_L_CH5_BLANK",2294.6948860188,59.6566,5,2289.46183040644
"A5_L_CH3_C3",2286.25951719546,59.8701,6,2279.74595731741
"A6_D_CH8_C28",2378.11270149784,59.6863,7,2369.98703167495
"A6_L_CH3_C23",2362.18897185575,59.5664,8,2352.7778604141
"A6_L_CH5_BLANK",2405.91462873615,60.4898,9,2394.96621176807
"A6_L_CH7_C27",2376.03619408984,59.536,10,2363.87910156749
"A6_TO_2_CH7",2299.72501001671,59.7802,11,2286.65839064161
"A6_D_CH7_C26",2365.59475220615,60.1328,12,2350.81818078408
"A6_L_CH6_C25",2375.60108939275,59.7929,13,2359.42219434581
"A6_TO_3_CH8",2305.28783600554,60.4399,14,2288.28911685178
"A6_TO_1_CH5",2303.48796491431,59.6083,15,2285.20631439911
"A7_TO_2_CH8",2321.21707868617,59.9314,16,2301.49002136023
"A6_L_CH8_C28",2308.55324112737,59.8524,17,2287.63769647389
"A7_L_CH9_V5",2313.91510262284,59.7532,18,2291.65332744197
"V7_L_CH8_V4",2322.46354634243,60.2309,19,2298.818555486
"A7_L_CH10_V12",2297.97789153875,59.6664,20,2273.2963878987
"A7_D_CH9_V5",2295.8522306161,59.8325,21,2269.9103975018
"A7_D_CH6_BLANK",2353.51308331935,59.6048,22,2325.60581355667
"A7_L_CH6_BLANK",2363.07751285629,60.3371,23,2333.73907872377
"A7_L_CH5_V15",2327.28154369346,59.7238,24,2297.0912021791
"A7_L_CH3_V19",2343.72598181864,59.8294,25,2312.01830224499
"A7_L_CH1_V13",2319.86835566413,60.4665,26,2287.19415347167
"A7_D_CH10_V12",2274.43146931194,59.9869,27,2241.13461221615
"A7_L_CH2_V3",2303.60709280442,60.0383,28,2268.60574699366
"A7_TO_3_CH10",2340.17389628201,59.6694,29,2303.3207640571
"A7_D_CH1_V13",2292.74087723294,60.099,30,2255.36623673842
"A7_D_CH7_V16",2314.72497986616,59.6621,31,2275.71276110437
"A7_L_CH7_V16",2308.06899965627,60.0558,32,2267.89486209908
"A7_D_CH3_V19",2327.09606795506,60.5004,33,2285.30758637562
"A7_D_CH5_V15",2321.66715324147,60.3672,34,2278.69743027065
"A7_TO_1_CH5",2353.59895841233,59.9364,35,2308.74337288205
"A7_D_CH8_V4",2304.16988012765,59.6262,36,2258.99007855652
