Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,Junk1,10/3/2023 8:18:20 AM,OK,Unchecked,0,,25.0,°C,,2.500,mL,,59.749,g,,59.7493,g,,1.0,g/mL
2,Junk2,10/3/2023 8:29:25 AM,OK,Unchecked,0,,25.0,°C,,2.504,mL,,59.923,g,,59.9231,g,,1.0,g/mL
3,Junk3,10/3/2023 8:40:22 AM,OK,Unchecked,0,,25.0,°C,,2.537,mL,,60.007,g,,60.0068,g,,1.0,g/mL
4,CRM,10/3/2023 8:51:18 AM,OK,Unchecked,0,,25.0,°C,,2.414,mL,,59.731,g,,59.7309,g,,1.0,g/mL
10/3/2023 9:09:53 AMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
