SampleID,TA,Mass,Sample.Index,TA_evap,notes
junk,2276.395594,60.2045,1,2276.395594,
D_28_1_BC,2178.099344,59.9768,2,2176.855426,
D_28_2_BC,2108.698571,60.0473,3,2106.291381,
D_28_3_BC,2113.318755,59.9489,4,2109.702122,
D_28_4_BC,2099.185476,59.9871,5,2094.39828,
D_28_5_BC,2160.396023,60.1179,6,2154.241049,ocean?
N_28_1_BC,2226.933571,60.1002,7,2219.324459,
N_28_2_BC,2218.98797,59.9393,8,2210.147381,
N_28_3_BC,2310.236176,60.0845,9,2299.723156,redo?
N_28_4_BC,2403.708982,59.9593,10,2391.4103,redo?
N_28_5_BC,2519.055132,60.0589,11,2504.742318,redo?
D_28_1_AI,2226.36406,60.0783,12,2212.457187,
D_28_2_AI,2168.609756,60.0251,13,2153.840563,
D_28_3_AI,2084.003546,60.0628,14,2068.636532,
D_28_4_AI,2004.150883,60.0871,15,1988.244924,
N_28_1_AI,2198.806286,60.153,16,2180.119547,
N_28_2_AI,2208.355684,59.9804,17,2188.347932,
N_28_3_AI,2340.374946,59.9114,18,2317.858606,redo?
N_28_4_AI,2278.407686,59.9633,19,2255.211227,redo?
