"SampleID","TA","Mass","Sample.Index"
"junk1",2221.15350728247,60.2593,1
"junk2",2215.08238770861,60.1066,2
"junk3",2241.6444721895,60.5175,3
"crm",2201.69593627449,60.1603,4
