Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,JUNK1,4/22/2024 10:17:45 AM,OK,Unchecked,0,,25.0,°C,,2.452,mL,,60.085,g,,60.0847,g,,1.0,g/mL
2,JUNK2,4/22/2024 10:28:41 AM,OK,Unchecked,0,,25.0,°C,,2.440,mL,,60.425,g,,60.4246,g,,1.0,g/mL
3,TANK1,4/22/2024 10:39:22 AM,OK,Unchecked,0,,25.0,°C,,2.396,mL,,59.789,g,,59.7889,g,,1.0,g/mL
4,TANK2,4/22/2024 10:49:57 AM,OK,Unchecked,0,,25.0,°C,,2.404,mL,,60.155,g,,60.1548,g,,1.0,g/mL
5,TANK3,4/22/2024 11:00:31 AM,OK,Unchecked,0,,25.0,°C,,2.380,mL,,59.557,g,,59.5574,g,,1.0,g/mL
6,TANK4,4/22/2024 11:11:04 AM,OK,Unchecked,0,,25.0,°C,,2.404,mL,,60.205,g,,60.2050,g,,1.0,g/mL
7,TANK5,4/22/2024 11:21:37 AM,OK,Unchecked,0,,25.0,°C,,2.398,mL,,60.188,g,,60.1884,g,,1.0,g/mL
8,TANK6,4/22/2024 11:32:12 AM,OK,Unchecked,0,,25.0,°C,,2.380,mL,,59.837,g,,59.8369,g,,1.0,g/mL
9,TANK7,4/22/2024 11:42:47 AM,OK,Unchecked,0,,25.0,°C,,2.376,mL,,59.840,g,,59.8395,g,,1.0,g/mL
10,TANK8,4/22/2024 11:53:18 AM,OK,Unchecked,0,,25.0,°C,,2.379,mL,,59.937,g,,59.9369,g,,1.0,g/mL
11,TANK9,4/22/2024 12:03:56 PM,OK,Unchecked,0,,25.0,°C,,2.378,mL,,60.004,g,,60.0045,g,,1.0,g/mL
12,TANK10,4/22/2024 12:14:29 PM,OK,Unchecked,0,,25.0,°C,,2.400,mL,,60.390,g,,60.3902,g,,1.0,g/mL
13,TANK11,4/22/2024 12:25:05 PM,OK,Unchecked,0,,25.0,°C,,2.390,mL,,60.364,g,,60.3645,g,,1.0,g/mL
14,TANK12,4/22/2024 12:35:39 PM,OK,Unchecked,0,,25.0,°C,,2.365,mL,,59.829,g,,59.8289,g,,1.0,g/mL
15,TANK13,4/22/2024 12:46:17 PM,OK,Unchecked,0,,25.0,°C,,2.368,mL,,59.917,g,,59.9171,g,,1.0,g/mL
16,TANK14,4/22/2024 12:56:51 PM,OK,Unchecked,0,,25.0,°C,,2.370,mL,,60.000,g,,60.0005,g,,1.0,g/mL
17,TANK15,4/22/2024 1:07:22 PM,OK,Unchecked,0,,25.0,°C,,2.380,mL,,60.262,g,,60.2624,g,,1.0,g/mL
18,TANK17,4/22/2024 1:17:58 PM,OK,Unchecked,0,,25.0,°C,,2.358,mL,,59.823,g,,59.8227,g,,1.0,g/mL
19,TANK18,4/22/2024 1:28:32 PM,OK,Unchecked,0,,25.0,°C,,2.366,mL,,59.962,g,,59.9624,g,,1.0,g/mL
20,TANK19,4/22/2024 1:39:04 PM,OK,Unchecked,0,,25.0,°C,,2.359,mL,,59.732,g,,59.7325,g,,1.0,g/mL
4/22/2024 3:20:10 PMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
