SampleID,TA,Mass,Sample.Index,,
CRM1,2234.415128,59.6852,1,,1.242189758
CRM2,2217.859077,60.8598,2,,0.492028866
CRM3,2218.493562,60.7899,3,,0.520777613
CRM4,2222.39562,59.9988,4,,0.697581337
CRM5,2221.778873,60.0484,5,,0.669636291
