"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2293.96236337011,59.7734,1,2293.96236337011
"D_20_1_BC",2194.80459881402,59.8412,2,2193.55114101915
"D_20_2_BC",2146.48468324741,60.0744,3,2144.03435826653
"D_20_3_BC",2073.03319371306,59.8848,4,2069.48550427716
"D_20_4_BC",2001.89557096867,60.0235,5,1997.33024469508
"D_20_5_BC",1978.39565176507,59.8152,6,1972.75919691674
"N_20_1_BC",2190.23265293505,59.8961,7,2182.74894227582
"N_20_2_BC",2165.97375628626,59.7045,8,2157.34437877118
"N_20_3_BC",2171.09104793665,59.923,9,2161.21122519291
"N_20_4_BC",2246.89181166438,59.7895,10,2235.39549199128
"N_20_5_BC",2274.03653269259,59.9517,11,2261.11587057502
"D_20_1_AI",2258.55890363389,60.1838,12,2244.45092638234
"D_20_2_AI",2286.21022006076,60.1301,13,2270.64011640541
"D_20_3_AI",2320.49208618309,59.9943,14,2303.38125401044
"D_20_4_AI",2340.20353845803,60.0218,15,2321.63049450202
"N_20_1_AI",2310.64502604614,59.906,16,2291.00781619306
"N_20_2_AI",2288.32146832198,60.0148,17,2267.58922398837
"N_20_3_AI",2308.43004363123,59.9182,18,2286.22103924994
"N_20_4_AI",2258.21188869809,60.1328,19,2235.22104367741
