Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-70.5,NaN,21.5,,
0.0005,1,-70.6,0.0005,21.5,,
0.0025,2,-70.5,0.0020,21.5,,
0.0050,3,-70.4,0.0025,21.5,,
0.0090,4,-70.3,0.0035,21.5,,
0.0150,5,-70.0,0.0055,21.5,,
0.0235,6,-69.5,0.0075,21.5,,
0.0310,7,-68.8,0.0075,21.5,,
0.0395,8,-67.9,0.0085,21.5,,
0.0480,9,-66.9,0.0075,21.5,,
0.0565,10,-65.6,0.0075,21.5,,
0.0650,11,-64.3,0.0075,21.5,,
0.0730,12,-63.0,0.0075,21.5,,
0.0810,13,-61.7,0.0080,21.5,,
0.0890,14,-60.1,0.0080,21.5,,
0.0975,15,-58.5,0.0075,21.5,,
0.1060,16,-56.8,0.0075,21.5,,
0.1145,17,-54.9,0.0075,21.5,,
0.1230,18,-53.4,0.0085,21.5,,
0.1305,19,-51.4,0.0075,21.5,,
0.1390,20,-49.3,0.0085,21.5,,
0.1475,21,-47.1,0.0075,21.5,,
0.1555,22,-44.7,0.0075,21.5,,
0.1640,23,-42.2,0.0075,21.5,,
0.1725,24,-39.6,0.0075,21.5,,
0.1800,25,-37.1,0.0075,21.5,,
0.1885,26,-34.2,0.0085,21.6,,
0.1970,27,-31.2,0.0075,21.5,,
0.2055,28,-28.2,0.0075,21.5,,
0.2140,29,-25.1,0.0075,21.6,,
0.2220,30,-22.1,0.0075,21.5,,
0.2300,31,-19.5,0.0080,21.5,,
0.2380,32,-16.7,0.0080,21.6,,
0.2465,33,-14.1,0.0075,21.6,,
0.2550,34,-11.9,0.0075,21.6,,
0.2635,35,-9.7,0.0075,21.6,,
0.2720,36,-7.9,0.0075,21.6,,
0.2795,37,-6.4,0.0075,21.6,,
0.2880,38,-4.7,0.0085,21.6,,
0.2960,39,-3.1,0.0075,21.6,,
0.3045,40,-1.7,0.0075,21.6,,
0.3130,41,-0.3,0.0075,21.6,,
0.3215,42,0.8,0.0085,21.6,,
0.3290,43,2.0,0.0075,21.6,,
0.3375,44,3.3,0.0085,21.6,,
0.3460,45,4.7,0.0075,21.6,,
0.3545,46,5.7,0.0075,21.6,,
0.3625,47,6.9,0.0075,21.6,,
0.3710,48,8.0,0.0075,21.6,,
0.3785,49,9.0,0.0075,21.6,,
0.3870,50,10.0,0.0085,21.6,,
0.3955,51,11.0,0.0075,21.6,,
0.4040,52,12.1,0.0075,21.6,,
0.4125,53,13.0,0.0075,21.6,,
0.4210,54,13.9,0.0085,21.6,,
0.4285,55,14.8,0.0075,21.6,,
0.4370,56,15.7,0.0085,21.6,,
0.4450,57,16.7,0.0075,21.6,,
0.4535,58,17.7,0.0075,21.6,,
0.4620,59,18.6,0.0075,21.6,,
0.4705,60,19.5,0.0085,21.6,,
0.4780,61,20.3,0.0075,21.6,,
0.4865,62,21.2,0.0085,21.6,,
0.4950,63,22.0,0.0075,21.6,,
0.5035,64,23.0,0.0075,21.6,,
0.5115,65,23.9,0.0075,21.6,,
0.5200,66,24.7,0.0085,21.6,,
0.5275,67,25.6,0.0075,21.6,,
0.5360,68,26.5,0.0085,21.6,,
0.5445,69,27.4,0.0075,21.6,,
0.5530,70,28.2,0.0075,21.6,,
0.5615,71,29.0,0.0075,21.6,,
0.5690,72,29.8,0.0075,21.6,,
0.5775,73,30.6,0.0085,21.6,,
0.5860,74,31.4,0.0085,21.6,,
0.5940,75,32.3,0.0075,21.6,,
0.6025,76,33.2,0.0075,21.6,,
0.6110,77,34.0,0.0075,21.6,,
0.6185,78,34.8,0.0075,21.6,,
0.6270,79,35.7,0.0085,21.6,,
0.6355,80,36.6,0.0085,21.6,,
0.6440,81,37.4,0.0075,21.6,,
0.6520,82,38.2,0.0075,21.6,,
0.6605,83,39.0,0.0075,21.6,,
0.6680,84,39.8,0.0075,21.6,,
0.6765,85,40.7,0.0085,21.6,,
0.6850,86,41.5,0.0085,21.6,,
0.6935,87,42.3,0.0075,21.6,,
0.7020,88,43.2,0.0075,21.6,,
0.7105,89,44.0,0.0075,21.6,,
0.7180,90,44.8,0.0075,21.6,,
0.7265,91,45.7,0.0085,21.6,,
0.7345,92,46.5,0.0080,21.6,,
0.7430,93,47.3,0.0075,21.6,,
0.7515,94,48.1,0.0075,21.6,,
0.7600,95,49.0,0.0075,21.6,,
0.7675,96,49.7,0.0075,21.6,,
0.7760,97,50.6,0.0085,21.6,,
0.7845,98,51.4,0.0085,21.6,,
0.7930,99,52.2,0.0075,21.6,,
0.8010,100,53.0,0.0075,21.6,,
0.8095,101,53.8,0.0075,21.6,,
0.8170,102,54.5,0.0075,21.6,,
0.8255,103,55.4,0.0085,21.6,,
0.8340,104,56.2,0.0085,21.6,,
0.8425,105,57.1,0.0075,21.6,,
0.8510,106,58.0,0.0075,21.6,,
0.8595,107,58.8,0.0075,21.6,,
0.8670,108,59.6,0.0075,21.6,,
0.8755,109,60.4,0.0085,21.6,,
0.8835,110,61.3,0.0075,21.6,,
0.8920,111,62.1,0.0075,21.6,,
0.9005,112,62.9,0.0075,21.6,,
0.9090,113,63.7,0.0085,21.6,,
0.9165,114,64.6,0.0075,21.6,,
