Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-91.2,NaN,21.3,,
0.0005,1,-91.2,0.0005,21.3,,
0.0025,2,-91.2,0.0020,21.3,,
0.0050,3,-91.2,0.0025,21.3,,
0.0090,4,-91.1,0.0035,21.3,,
0.0150,5,-90.9,0.0055,21.3,,
0.0235,6,-90.4,0.0075,21.3,,
0.0310,7,-89.9,0.0075,21.3,,
0.0395,8,-89.2,0.0085,21.3,,
0.0480,9,-88.6,0.0075,21.3,,
0.0565,10,-87.9,0.0075,21.3,,
0.0650,11,-87.2,0.0075,21.3,,
0.0730,12,-86.4,0.0075,21.3,,
0.0810,13,-85.7,0.0080,21.3,,
0.0890,14,-85.0,0.0080,21.3,,
0.0975,15,-84.2,0.0085,21.3,,
0.1060,16,-83.3,0.0075,21.3,,
0.1145,17,-82.4,0.0075,21.3,,
0.1230,18,-81.6,0.0075,21.3,,
0.1305,19,-80.8,0.0075,21.3,,
0.1390,20,-79.9,0.0085,21.3,,
0.1470,21,-79.0,0.0075,21.3,,
0.1555,22,-78.0,0.0075,21.3,,
0.1640,23,-77.0,0.0075,21.3,,
0.1725,24,-76.0,0.0075,21.3,,
0.1800,25,-75.1,0.0075,21.3,,
0.1885,26,-74.1,0.0085,21.3,,
0.1970,27,-73.0,0.0075,21.3,,
0.2055,28,-72.0,0.0075,21.3,,
0.2140,29,-70.8,0.0075,21.3,,
0.2220,30,-69.5,0.0075,21.3,,
0.2295,31,-68.4,0.0075,21.3,,
0.2380,32,-67.2,0.0085,21.3,,
0.2465,33,-65.9,0.0075,21.3,,
0.2550,34,-64.6,0.0075,21.3,,
0.2635,35,-63.2,0.0075,21.3,,
0.2720,36,-61.8,0.0075,21.3,,
0.2795,37,-60.4,0.0075,21.3,,
0.2880,38,-58.8,0.0085,21.3,,
0.2960,39,-57.1,0.0075,21.3,,
0.3045,40,-55.4,0.0075,21.3,,
0.3130,41,-53.7,0.0075,21.3,,
0.3215,42,-51.8,0.0075,21.3,,
0.3290,43,-50.0,0.0075,21.3,,
0.3375,44,-47.9,0.0085,21.3,,
0.3460,45,-45.8,0.0085,21.3,,
0.3540,46,-43.4,0.0075,21.3,,
0.3625,47,-40.8,0.0075,21.3,,
0.3710,48,-38.0,0.0075,21.3,,
0.3795,49,-35.4,0.0085,21.3,,
0.3870,50,-32.4,0.0070,21.3,,
0.3955,51,-29.2,0.0085,21.3,,
0.4040,52,-25.7,0.0075,21.3,,
0.4120,53,-22.3,0.0075,21.3,,
