Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-96.1,NaN,21.3,,
0.0010,1,-96.1,0.0010,21.3,,
0.0025,2,-96.1,0.0015,21.3,,
0.0050,3,-96.1,0.0025,21.3,,
0.0090,4,-96.0,0.0035,21.3,,
0.0150,5,-95.7,0.0055,21.3,,
0.0235,6,-95.4,0.0075,21.3,,
0.0320,7,-94.9,0.0075,21.3,,
0.0395,8,-94.4,0.0075,21.3,,
0.0480,9,-93.9,0.0085,21.3,,
0.0565,10,-93.3,0.0075,21.3,,
0.0645,11,-92.7,0.0075,21.3,,
0.0730,12,-92.0,0.0075,21.3,,
0.0815,13,-91.4,0.0075,21.3,,
0.0890,14,-90.8,0.0075,21.3,,
0.0975,15,-90.2,0.0085,21.3,,
0.1060,16,-89.6,0.0075,21.3,,
0.1145,17,-88.9,0.0075,21.3,,
0.1230,18,-88.3,0.0075,21.3,,
0.1310,19,-87.6,0.0075,21.3,,
0.1390,20,-86.8,0.0080,21.3,,
0.1470,21,-86.1,0.0080,21.3,,
0.1555,22,-85.4,0.0075,21.3,,
0.1640,23,-84.7,0.0075,21.3,,
0.1725,24,-83.9,0.0075,21.3,,
0.1810,25,-83.1,0.0075,21.3,,
0.1885,26,-82.3,0.0075,21.3,,
0.1970,27,-81.5,0.0085,21.3,,
0.2055,28,-80.6,0.0075,21.3,,
0.2135,29,-79.7,0.0075,21.3,,
0.2220,30,-78.9,0.0075,21.3,,
0.2305,31,-78.0,0.0075,21.3,,
0.2380,32,-77.1,0.0075,21.3,,
0.2465,33,-76.2,0.0075,21.3,,
0.2550,34,-75.2,0.0075,21.3,,
0.2635,35,-74.1,0.0075,21.3,,
0.2720,36,-73.1,0.0075,21.3,,
0.2800,37,-72.0,0.0075,21.3,,
0.2880,38,-71.1,0.0075,21.3,,
0.2960,39,-69.9,0.0075,21.3,,
0.3045,40,-68.7,0.0075,21.3,,
0.3130,41,-67.6,0.0075,21.3,,
0.3215,42,-66.4,0.0075,21.3,,
0.3300,43,-65.1,0.0075,21.3,,
0.3375,44,-64.0,0.0075,21.3,,
