Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-70.6,NaN,21.6,,
0.0010,1,-70.7,0.0010,21.6,,
0.0025,2,-70.7,0.0015,21.6,,
0.0050,3,-70.6,0.0025,21.6,,
0.0090,4,-70.4,0.0035,21.6,,
0.0150,5,-70.0,0.0055,21.6,,
0.0235,6,-69.5,0.0075,21.6,,
0.0320,7,-68.7,0.0085,21.6,,
0.0395,8,-67.7,0.0075,21.6,,
0.0480,9,-66.7,0.0075,21.6,,
0.0565,10,-65.4,0.0075,21.6,,
0.0650,11,-64.2,0.0075,21.6,,
0.0735,12,-62.8,0.0075,21.6,,
0.0815,13,-61.5,0.0080,21.6,,
0.0895,14,-60.0,0.0080,21.6,,
0.0975,15,-58.5,0.0075,21.6,,
0.1060,16,-56.8,0.0075,21.6,,
0.1145,17,-55.2,0.0075,21.6,,
0.1230,18,-53.4,0.0075,21.6,,
0.1305,19,-51.5,0.0075,21.6,,
0.1390,20,-49.5,0.0085,21.6,,
0.1475,21,-47.4,0.0075,21.6,,
0.1560,22,-45.2,0.0075,21.6,,
0.1640,23,-42.7,0.0075,21.6,,
0.1725,24,-40.2,0.0075,21.6,,
0.1800,25,-37.7,0.0075,21.6,,
0.1885,26,-34.9,0.0085,21.6,,
0.1970,27,-31.9,0.0075,21.6,,
0.2055,28,-28.6,0.0075,21.6,,
0.2140,29,-25.4,0.0075,21.6,,
0.2225,30,-22.2,0.0075,21.6,,
0.2300,31,-19.3,0.0075,21.6,,
0.2385,32,-16.3,0.0075,21.6,,
0.2465,33,-13.3,0.0075,21.6,,
0.2550,34,-10.9,0.0075,21.6,,
0.2635,35,-8.6,0.0075,21.6,,
0.2720,36,-6.7,0.0085,21.6,,
0.2795,37,-4.8,0.0075,21.6,,
0.2880,38,-3.0,0.0075,21.6,,
0.2965,39,-1.5,0.0075,21.6,,
0.3050,40,0.1,0.0075,21.6,,
0.3130,41,1.5,0.0075,21.6,,
0.3215,42,2.9,0.0085,21.6,,
0.3290,43,4.3,0.0075,21.6,,
0.3375,44,5.6,0.0075,21.6,,
0.3460,45,7.0,0.0075,21.6,,
0.3545,46,8.0,0.0075,21.6,,
0.3630,47,9.2,0.0075,21.6,,
0.3705,48,10.1,0.0075,21.6,,
0.3790,49,11.3,0.0085,21.6,,
0.3875,50,12.4,0.0075,21.6,,
0.3960,51,13.4,0.0075,21.6,,
0.4040,52,14.4,0.0075,21.6,,
0.4125,53,15.3,0.0075,21.6,,
0.4200,54,16.3,0.0075,21.6,,
0.4285,55,17.2,0.0075,21.6,,
0.4370,56,18.1,0.0075,21.6,,
0.4455,57,19.0,0.0075,21.6,,
0.4540,58,19.8,0.0075,21.6,,
0.4625,59,20.8,0.0075,21.6,,
0.4700,60,21.5,0.0075,21.6,,
0.4785,61,22.6,0.0075,21.6,,
0.4865,62,23.4,0.0075,21.6,,
0.4950,63,24.4,0.0075,21.6,,
0.5035,64,25.3,0.0075,21.6,,
0.5110,65,26.0,0.0075,21.6,,
0.5195,66,26.9,0.0075,21.6,,
0.5280,67,27.8,0.0075,21.6,,
0.5365,68,28.6,0.0075,21.6,,
0.5450,69,29.4,0.0075,21.6,,
0.5535,70,30.2,0.0075,21.6,,
0.5610,71,30.8,0.0075,21.6,,
0.5695,72,31.8,0.0075,21.6,,
0.5775,73,32.6,0.0075,21.6,,
0.5860,74,33.4,0.0075,21.6,,
0.5945,75,34.3,0.0075,21.6,,
0.6030,76,35.1,0.0075,21.6,,
0.6105,77,35.8,0.0075,21.6,,
0.6190,78,36.6,0.0075,21.6,,
