Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-99.4,NaN,21.2,,
0.0010,1,-99.3,0.0010,21.2,,
0.0025,2,-99.4,0.0015,21.2,,
0.0050,3,-99.3,0.0025,21.2,,
0.0090,4,-99.2,0.0035,21.2,,
0.0150,5,-98.9,0.0055,21.2,,
0.0235,6,-98.5,0.0075,21.2,,
0.0320,7,-97.9,0.0075,21.2,,
0.0395,8,-97.4,0.0075,21.2,,
0.0480,9,-96.8,0.0085,21.2,,
0.0565,10,-96.1,0.0075,21.2,,
0.0650,11,-95.5,0.0075,21.2,,
0.0730,12,-94.8,0.0075,21.2,,
0.0815,13,-94.2,0.0075,21.2,,
0.0890,14,-93.5,0.0075,21.2,,
0.0975,15,-92.8,0.0075,21.2,,
0.1060,16,-92.0,0.0075,21.2,,
0.1145,17,-91.1,0.0075,21.2,,
0.1230,18,-90.5,0.0075,21.2,,
0.1310,19,-89.7,0.0075,21.2,,
0.1390,20,-88.9,0.0080,21.2,,
0.1470,21,-88.0,0.0075,21.2,,
0.1555,22,-87.2,0.0075,21.2,,
0.1640,23,-86.4,0.0075,21.2,,
0.1725,24,-85.4,0.0075,21.2,,
0.1810,25,-84.4,0.0075,21.2,,
0.1885,26,-83.7,0.0075,21.2,,
0.1970,27,-82.7,0.0075,21.2,,
0.2055,28,-81.7,0.0075,21.2,,
0.2140,29,-80.7,0.0075,21.2,,
0.2220,30,-79.7,0.0075,21.2,,
0.2300,31,-78.8,0.0080,21.2,,
0.2380,32,-77.7,0.0080,21.2,,
0.2465,33,-76.6,0.0075,21.2,,
0.2550,34,-75.5,0.0075,21.2,,
0.2635,35,-74.5,0.0075,21.2,,
0.2720,36,-73.3,0.0075,21.2,,
0.2795,37,-72.1,0.0075,21.2,,
0.2880,38,-71.0,0.0085,21.2,,
0.2965,39,-69.7,0.0075,21.2,,
0.3045,40,-68.3,0.0075,21.2,,
0.3130,41,-67.0,0.0075,21.2,,
0.3215,42,-65.6,0.0075,21.2,,
0.3290,43,-64.1,0.0075,21.2,,
0.3375,44,-62.6,0.0085,21.2,,
0.3460,45,-61.0,0.0075,21.2,,
0.3545,46,-59.3,0.0075,21.2,,
0.3630,47,-57.6,0.0075,21.2,,
0.3710,48,-55.8,0.0075,21.2,,
0.3790,49,-54.0,0.0080,21.2,,
0.3870,50,-51.9,0.0080,21.2,,
0.3955,51,-49.7,0.0075,21.2,,
0.4040,52,-47.4,0.0075,21.2,,
0.4125,53,-44.9,0.0075,21.2,,
0.4210,54,-42.4,0.0075,21.2,,
0.4285,55,-39.8,0.0075,21.2,,
0.4370,56,-36.9,0.0085,21.2,,
0.4450,57,-33.8,0.0075,21.2,,
0.4535,58,-30.6,0.0075,21.2,,
0.4620,59,-27.2,0.0075,21.2,,
0.4705,60,-23.5,0.0075,21.2,,
0.4780,61,-20.2,0.0075,21.2,,
0.4865,62,-16.5,0.0085,21.2,,
0.4950,63,-13.1,0.0075,21.2,,
0.5035,64,-10.0,0.0075,21.2,,
0.5115,65,-7.1,0.0075,21.2,,
0.5200,66,-4.6,0.0075,21.2,,
0.5275,67,-2.2,0.0075,21.2,,
0.5360,68,-0.1,0.0085,21.2,,
0.5445,69,1.9,0.0075,21.2,,
