Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-65.5,NaN,21.1,,
0.0010,1,-65.4,0.0010,21.1,,
0.0025,2,-65.5,0.0015,21.1,,
0.0050,3,-65.3,0.0025,21.1,,
0.0090,4,-65.1,0.0035,21.1,,
0.0150,5,-64.8,0.0055,21.1,,
0.0235,6,-64.0,0.0075,21.1,,
0.0310,7,-63.3,0.0075,21.1,,
0.0395,8,-62.2,0.0085,21.1,,
0.0480,9,-60.9,0.0075,21.1,,
0.0565,10,-59.3,0.0075,21.1,,
0.0650,11,-57.6,0.0075,21.1,,
0.0730,12,-55.9,0.0075,21.1,,
0.0815,13,-54.1,0.0085,21.1,,
0.0890,14,-52.2,0.0075,21.1,,
0.0975,15,-50.2,0.0075,21.1,,
0.1060,16,-47.9,0.0075,21.2,,
0.1145,17,-45.5,0.0075,21.1,,
0.1230,18,-42.9,0.0075,21.2,,
0.1315,19,-40.5,0.0085,21.1,,
0.1390,20,-37.5,0.0075,21.1,,
0.1470,21,-34.2,0.0075,21.2,,
0.1555,22,-30.9,0.0075,21.1,,
0.1640,23,-27.4,0.0075,21.2,,
0.1725,24,-23.8,0.0075,21.2,,
0.1810,25,-20.5,0.0085,21.2,,
0.1885,26,-17.2,0.0075,21.2,,
0.1970,27,-14.1,0.0075,21.2,,
0.2055,28,-11.2,0.0075,21.2,,
0.2135,29,-8.5,0.0075,21.2,,
0.2220,30,-6.2,0.0075,21.2,,
0.2305,31,-3.9,0.0075,21.2,,
0.2380,32,-2.2,0.0075,21.2,,
0.2465,33,-0.3,0.0075,21.2,,
0.2550,34,1.4,0.0075,21.2,,
0.2635,35,3.0,0.0075,21.2,,
0.2715,36,4.7,0.0075,21.2,,
0.2800,37,6.2,0.0075,21.2,,
0.2875,38,7.4,0.0075,21.2,,
0.2960,39,8.8,0.0085,21.2,,
0.3045,40,10.2,0.0075,21.2,,
0.3130,41,11.4,0.0075,21.2,,
0.3215,42,12.5,0.0075,21.2,,
0.3295,43,13.8,0.0075,21.2,,
0.3375,44,14.9,0.0080,21.2,,
0.3455,45,16.1,0.0080,21.2,,
0.3540,46,17.1,0.0075,21.2,,
0.3625,47,18.4,0.0075,21.2,,
0.3710,48,19.5,0.0075,21.2,,
0.3795,49,20.4,0.0075,21.2,,
0.3870,50,21.3,0.0075,21.2,,
0.3955,51,22.3,0.0085,21.2,,
0.4040,52,23.4,0.0075,21.2,,
0.4120,53,24.3,0.0075,21.2,,
0.4205,54,25.2,0.0075,21.2,,
0.4290,55,26.2,0.0075,21.2,,
0.4365,56,27.2,0.0075,21.2,,
0.4450,57,28.1,0.0085,21.2,,
0.4535,58,29.0,0.0075,21.2,,
0.4620,59,30.1,0.0075,21.2,,
