Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-59.4,NaN,21.4,,
0.0010,1,-59.3,0.0010,21.4,,
0.0025,2,-59.2,0.0015,21.4,,
0.0050,3,-59.2,0.0025,21.4,,
0.0090,4,-59.0,0.0035,21.4,,
0.0150,5,-58.4,0.0055,21.4,,
0.0235,6,-57.5,0.0075,21.4,,
0.0320,7,-56.3,0.0075,21.4,,
0.0405,8,-54.8,0.0075,21.4,,
0.0490,9,-53.3,0.0075,21.4,,
0.0565,10,-51.6,0.0070,21.4,,
0.0650,11,-49.7,0.0075,21.4,,
0.0735,12,-47.7,0.0075,21.4,,
0.0815,13,-45.5,0.0075,21.4,,
0.0900,14,-43.2,0.0075,21.4,,
0.0985,15,-41.0,0.0075,21.4,,
0.1060,16,-38.3,0.0070,21.4,,
0.1145,17,-35.5,0.0075,21.4,,
0.1230,18,-32.6,0.0075,21.4,,
0.1315,19,-29.4,0.0075,21.4,,
0.1395,20,-26.1,0.0075,21.4,,
0.1480,21,-23.1,0.0085,21.4,,
0.1555,22,-19.8,0.0070,21.4,,
0.1640,23,-16.7,0.0075,21.5,,
0.1725,24,-13.6,0.0075,21.5,,
0.1810,25,-10.8,0.0075,21.5,,
0.1895,26,-8.2,0.0075,21.4,,
0.1980,27,-6.3,0.0075,21.4,,
0.2055,28,-4.1,0.0070,21.5,,
0.2140,29,-2.3,0.0075,21.4,,
0.2220,30,-0.8,0.0075,21.4,,
0.2305,31,0.7,0.0075,21.5,,
0.2390,32,2.2,0.0075,21.5,,
0.2475,33,3.5,0.0085,21.5,,
0.2550,34,4.9,0.0070,21.5,,
0.2635,35,6.3,0.0075,21.5,,
0.2720,36,7.5,0.0075,21.5,,
0.2805,37,8.7,0.0075,21.5,,
0.2885,38,9.8,0.0075,21.5,,
0.2970,39,10.8,0.0075,21.5,,
0.3045,40,11.7,0.0070,21.5,,
0.3130,41,12.7,0.0075,21.5,,
0.3215,42,13.8,0.0075,21.5,,
0.3300,43,14.8,0.0075,21.5,,
0.3385,44,15.8,0.0075,21.5,,
0.3465,45,16.7,0.0065,21.5,,
0.3545,46,17.4,0.0075,21.5,,
0.3625,47,18.3,0.0075,21.5,,
0.3710,48,19.2,0.0075,21.5,,
0.3795,49,20.1,0.0075,21.5,,
0.3880,50,21.0,0.0075,21.5,,
0.3965,51,21.8,0.0075,21.5,,
0.4040,52,22.6,0.0070,21.5,,
0.4125,53,23.4,0.0075,21.5,,
0.4210,54,24.3,0.0075,21.5,,
0.4290,55,25.1,0.0075,21.5,,
0.4375,56,25.9,0.0075,21.5,,
0.4460,57,26.6,0.0085,21.5,,
0.4535,58,27.4,0.0070,21.5,,
0.4620,59,28.2,0.0075,21.5,,
0.4705,60,28.9,0.0075,21.5,,
0.4790,61,29.7,0.0075,21.5,,
0.4875,62,30.5,0.0075,21.5,,
0.4955,63,31.2,0.0075,21.5,,
0.5030,64,31.8,0.0070,21.5,,
0.5115,65,32.6,0.0075,21.5,,
0.5200,66,33.3,0.0075,21.5,,
0.5285,67,34.1,0.0075,21.5,,
0.5370,68,34.8,0.0075,21.5,,
0.5455,69,35.6,0.0075,21.5,,
0.5530,70,36.4,0.0070,21.5,,
0.5615,71,37.1,0.0075,21.5,,
0.5695,72,37.8,0.0075,21.5,,
0.5780,73,38.6,0.0075,21.5,,
0.5865,74,39.4,0.0075,21.5,,
0.5950,75,40.2,0.0075,21.5,,
0.6025,76,40.8,0.0070,21.5,,
0.6110,77,41.6,0.0075,21.5,,
0.6195,78,42.3,0.0075,21.5,,
0.6275,79,43.0,0.0075,21.5,,
0.6360,80,43.9,0.0075,21.5,,
0.6445,81,44.6,0.0075,21.5,,
0.6520,82,45.2,0.0070,21.5,,
0.6605,83,45.9,0.0075,21.5,,
0.6690,84,46.7,0.0075,21.5,,
0.6775,85,47.4,0.0070,21.5,,
0.6860,86,48.2,0.0075,21.5,,
0.6940,87,49.0,0.0075,21.5,,
0.7015,88,49.6,0.0070,21.5,,
0.7100,89,50.4,0.0075,21.5,,
0.7185,90,51.0,0.0075,21.5,,
0.7270,91,51.8,0.0075,21.5,,
0.7355,92,52.5,0.0075,21.5,,
0.7435,93,53.2,0.0075,21.5,,
0.7520,94,53.8,0.0075,21.5,,
0.7595,95,54.5,0.0070,21.5,,
0.7680,96,55.2,0.0075,21.5,,
0.7765,97,56.0,0.0075,21.5,,
0.7850,98,56.8,0.0075,21.5,,
0.7935,99,57.4,0.0075,21.5,,
0.8020,100,58.2,0.0075,21.5,,
0.8095,101,58.9,0.0070,21.5,,
0.8180,102,59.6,0.0075,21.5,,
0.8260,103,60.5,0.0075,21.5,,
0.8345,104,61.2,0.0075,21.5,,
0.8430,105,61.9,0.0075,21.5,,
0.8515,106,62.6,0.0075,21.5,,
0.8590,107,63.4,0.0070,21.5,,
0.8675,108,64.2,0.0075,21.5,,
0.8760,109,64.9,0.0075,21.5,,
0.8845,110,65.8,0.0075,21.5,,
0.8925,111,66.6,0.0075,21.5,,
0.9010,112,67.2,0.0075,21.5,,
0.9085,113,68.0,0.0070,21.5,,
0.9170,114,68.8,0.0075,21.5,,
0.9255,115,69.8,0.0075,21.5,,
0.9340,116,70.5,0.0075,21.5,,
0.9425,117,71.3,0.0075,21.5,,
0.9505,118,71.9,0.0080,21.5,,
0.9585,119,72.7,0.0075,21.5,,
0.9665,120,73.5,0.0075,21.5,,
0.9750,121,74.3,0.0075,21.5,,
0.9835,122,75.2,0.0075,21.5,,
0.9920,123,76.1,0.0075,21.5,,
1.0005,124,77.0,0.0075,21.5,,
1.0080,125,77.7,0.0070,21.5,,
1.0165,126,78.7,0.0075,21.5,,
1.0245,127,79.5,0.0075,21.5,,
1.0330,128,80.3,0.0075,21.5,,
1.0415,129,81.4,0.0070,21.5,,
