SampleID,Tide,Day_Night,TA,Mass,Sample.Index,TA_evap
junk1,,,2145.972581,59.9247,1,2145.972581
junk2,,,2117.955472,60.2143,2,2116.745902
V1,High,Night,2363.573271,60.0665,3,2360.875128
V2,High,Night,2364.499877,59.5678,4,2360.453386
V3,High,Night,2366.741848,60.1877,5,2361.344489
V4,High,Night,2369.173633,59.8971,6,2362.423851
V5,High,Night,2360.366127,60.1761,7,2352.301094
V6,High,Night,2364.709883,60.0968,8,2355.288728
V7,High,Night,2352.654165,60.2452,9,2341.948116
V8,High,Night,2367.278158,59.9267,10,2355.165876
V9,High,Night,2367.575973,59.6505,11,2354.123837
V10,High,Night,2370.347295,59.6552,12,2355.541037
V11,High,Night,2401.863591,60.234,13,2385.505837
V12,High,Night,2373.605395,60.0939,14,2356.102916
V13,High,Night,2369.185912,60.0823,15,2350.382849
V14,High,Night,2365.440607,59.847,16,2345.337713
V15,High,Night,2374.253092,59.9861,17,2352.742306
V16,High,Night,2373.334419,60.2247,18,2350.500981
V17,High,Night,2368.312777,60.0613,19,2344.200995
V18,High,Night,2366.05226,59.912,20,2340.639601
V19,High,Night,2370.493179,60.2922,21,2343.707945
V20,High,Night,2375.327242,59.629,22,2347.161306
