Table of Measured Values,,,,,,
Task,T659,,,,,
Scope 1/1, Sample 1/20 (Junk),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-76.3,20.3,NaN,,
0.001,1,-76.3,20.3,0.001,,
0.0025,2,-76.2,20.3,0.0015,,
0.005,3,-76.3,20.3,0.0025,,
0.009,4,-76.1,20.3,0.0035,,
0.015,5,-76.2,20.3,0.0055,,
0.0235,6,-76.1,20.3,0.0075,,
0.032,7,-75.8,20.3,0.0075,,
0.0405,8,-75.6,20.3,0.0075,,
0.049,9,-75.1,20.3,0.007,,
0.0565,10,-74.4,20.3,0.007,,
0.065,11,-73.8,20.3,0.0075,,
0.0735,12,-73.1,20.3,0.0075,,
0.0815,13,-72.2,20.3,0.0075,,
0.09,14,-71.5,20.3,0.0075,,
0.0985,15,-70.6,20.3,0.0075,,
0.106,16,-69.6,20.3,0.007,,
0.1145,17,-68.7,20.3,0.0075,,
0.123,18,-67.5,20.3,0.0075,,
0.1315,19,-66.2,20.3,0.0075,,
0.14,20,-65.1,20.3,0.0075,,
0.148,21,-63.8,20.3,0.0075,,
0.156,22,-62.7,20.3,0.0075,,
0.164,23,-61.2,20.3,0.0075,,
0.1725,24,-59.8,20.3,0.0075,,
0.181,25,-58.5,20.3,0.0075,,
0.1895,26,-56.8,20.3,0.0075,,
0.198,27,-55.3,20.3,0.0075,,
0.2055,28,-53.8,20.3,0.007,,
0.214,29,-52.2,20.3,0.0075,,
0.2225,30,-50.4,20.3,0.0075,,
0.231,31,-48.5,20.3,0.0075,,
0.239,32,-46.6,20.3,0.0075,,
0.2475,33,-44.8,20.3,0.0075,,
0.256,34,-43.1,20.3,0.0075,,
0.2635,35,-41.5,20.3,0.007,,
0.272,36,-39.7,20.3,0.0075,,
0.2805,37,-37.8,20.3,0.0075,,
0.289,38,-36.4,20.3,0.0075,,
0.2975,39,-34.6,20.3,0.0075,,
0.3055,40,-33.2,20.3,0.0065,,
0.3135,41,-31.8,20.3,0.0075,,
0.3215,42,-30.4,20.3,0.0075,,
0.33,43,-29.2,20.3,0.0075,,
0.3385,44,-27.9,20.3,0.0075,,
0.347,45,-26.6,20.3,0.0075,,
0.3555,46,-25.2,20.3,0.0075,,
0.363,47,-24.1,20.3,0.007,,
0.3715,48,-23.2,20.3,0.0075,,
0.38,49,-22.1,20.3,0.0075,,
0.388,50,-21,20.3,0.0075,,
0.3965,51,-19.9,20.3,0.0075,,
0.405,52,-18.9,20.3,0.0075,,
0.4125,53,-17.9,20.3,0.007,,
0.421,54,-16.9,20.3,0.0075,,
0.4295,55,-16,20.3,0.0075,,
0.438,56,-15,20.3,0.0075,,
0.4465,57,-14.2,20.3,0.0075,,
0.455,58,-13.2,20.3,0.007,,
0.4625,59,-12.4,20.3,0.007,,
0.471,60,-11.6,20.3,0.0075,,
0.4795,61,-10.7,20.3,0.0075,,
0.4875,62,-9.9,20.3,0.0075,,
0.496,63,-9,20.3,0.0075,,
0.5045,64,-8.2,20.3,0.007,,
0.512,65,-7.4,20.3,0.007,,
0.5205,66,-6.6,20.3,0.0075,,
0.529,67,-5.8,20.3,0.0075,,
0.5375,68,-5.1,20.3,0.0075,,
0.546,69,-4,20.3,0.0075,,
0.554,70,-3.2,20.3,0.0075,,
0.562,71,-2.3,20.3,0.0075,,
0.5705,72,-1.5,20.3,0.0075,,
0.5785,73,-0.6,20.3,0.0075,,
0.587,74,-0.1,20.3,0.0075,,
0.5955,75,0.3,20.3,0.0075,,
0.604,76,1.1,20.3,0.0075,,
0.6125,77,1.9,20.3,0.0075,,
0.62,78,3,20.3,0.007,,
0.6285,79,3.7,20.3,0.0075,,
0.6365,80,4.4,20.3,0.0075,,
0.645,81,5.1,20.3,0.0075,,
0.6535,82,5.8,20.3,0.0075,,
0.662,83,6.3,20.3,0.007,,
0.6695,84,7,20.3,0.007,,
0.678,85,7.6,20.3,0.0075,,
0.6865,86,8.5,20.3,0.0075,,
0.695,87,9.4,20.3,0.0075,,
0.7035,88,10.3,20.3,0.0075,,
0.7115,89,11.2,20.3,0.0075,,
0.7195,90,12,20.3,0.0075,,
0.7275,91,12.6,20.3,0.0075,,
0.736,92,13.5,20.3,0.0075,,
0.7445,93,14.2,20.3,0.0075,,
0.753,94,15.2,20.3,0.0075,,
0.7615,95,15.9,20.3,0.0075,,
0.77,96,16.7,20.3,0.0075,,
0.7775,97,17.4,20.3,0.007,,
0.786,98,18.3,20.3,0.0075,,
0.794,99,19,20.3,0.0075,,
0.8025,100,19.9,20.3,0.0075,,
0.811,101,20.7,20.3,0.0075,,
0.8195,102,21.5,20.3,0.0075,,
0.827,103,22.3,20.3,0.007,,
0.8355,104,23.2,20.3,0.0075,,
0.844,105,24,20.3,0.0075,,
0.8525,106,24.9,20.3,0.0075,,
0.861,107,25.7,20.3,0.0075,,
0.869,108,26.6,20.3,0.0075,,
0.8765,109,27.3,20.3,0.007,,
0.885,110,28.3,20.3,0.0075,,
0.8935,111,29.2,20.3,0.0075,,
0.902,112,30,20.3,0.0075,,
0.9105,113,30.9,20.3,0.0075,,
0.918,114,31.7,20.3,0.007,,
0.9265,115,32.7,20.3,0.0075,,
0.935,116,33.6,20.3,0.0075,,
0.9435,117,34.5,20.3,0.0075,,
0.952,118,35.5,20.3,0.0075,,
0.96,119,36.5,20.3,0.0065,,
0.968,120,37.4,20.3,0.0075,,
0.976,121,38.4,20.3,0.0075,,
0.9845,122,39.4,20.3,0.0075,,
0.993,123,40.6,20.3,0.0075,,
1.0015,124,41.5,20.3,0.0075,,
1.01,125,42.7,20.3,0.0075,,
1.0185,126,43.6,20.3,0.0075,,
1.026,127,44.9,20.3,0.007,,
1.0345,128,45.9,20.3,0.0075,,
1.043,129,47.1,20.3,0.0075,,
1.051,130,48.3,20.3,0.0075,,
1.0595,131,49.4,20.3,0.0075,,
1.068,132,50.6,20.3,0.0075,,
1.0755,133,51.7,20.3,0.007,,
1.084,134,53,20.3,0.0075,,
1.0925,135,54.3,20.3,0.0075,,
1.101,136,55.6,20.3,0.0075,,
1.1095,137,56.8,20.3,0.0075,,
1.118,138,58.1,20.3,0.0075,,
1.1255,139,59.4,20.3,0.007,,
1.134,140,61,20.3,0.0075,,
1.142,141,62.4,20.3,0.0075,,
1.1505,142,63.9,20.3,0.0075,,
1.159,143,65.5,20.3,0.0075,,
1.1675,144,67,20.3,0.007,,
1.175,145,68.5,20.3,0.007,,
1.1835,146,70.2,20.3,0.0075,,
1.192,147,72,20.3,0.0075,,
1.2005,148,73.6,20.3,0.0075,,
1.2085,149,75.5,20.3,0.0075,,
1.217,150,77.5,20.3,0.007,,
1.2245,151,79.4,20.3,0.007,,
1.233,152,81.4,20.3,0.0075,,
1.2415,153,83.7,20.3,0.0075,,
1.25,154,85.9,20.3,0.0075,,
1.2585,155,88.4,20.3,0.0075,,
1.267,156,90.9,20.3,0.0075,,
1.2745,157,93.5,20.3,0.007,,
1.283,158,96.5,20.3,0.0075,,
1.2915,159,99.9,20.3,0.0075,,
1.3,160,103.5,20.3,0.0075,,
1.308,161,107.5,20.3,0.0075,,
1.3165,162,111.7,20.3,0.007,,
1.324,163,115.9,20.3,0.007,,
1.3325,164,120.7,20.3,0.0075,,
