"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2263.43904250006,59.9945,1,2263.43904250006
"HI_101",2264.80219138644,59.7186,2,2263.50875781055
"HI_102",2264.25816521448,60.0082,3,2261.67339561949
"HI_103",2266.31971151445,59.7204,4,2262.44124081591
"HI_104",2262.5751565531,60.4169,5,2257.41535003873
"HI_105",2266.55720932721,59.9108,6,2260.09978138041
"HI_221",2272.28716862027,60.424,7,2264.52308945642
"HI_104B",2257.71431346081,60.0175,8,2248.71943571794
"HI_112B",2265.38076543806,59.6754,9,2255.07186548157
"HI_117B",2260.32365593468,59.764,10,2248.75861164622
"HI_120B",2253.07464398355,60.2469,11,2240.27308350637
"HI_217",2254.23300244251,59.7686,12,2240.15204672026
"HI_218",2250.54834217013,60.2002,13,2235.22111168997
"HI_219",2266.95116158796,59.6547,14,2250.23512919962
"HI_220",2269.48177286566,60.183,15,2251.47001276355
"HI_222",2265.73712772829,60.1521,16,2246.48157140198
"HI_223",2273.58695858177,60.0221,17,2252.98820924014
"HI_224",2316.53543369629,60.2255,18,2294.24844876542
"HI_225",2322.28820058324,60.4266,19,2298.64499492119
"HI_226",2263.97258090061,59.6031,20,2239.65631236635
"HI_227",2291.96614814174,59.9305,21,2266.06822556387
"HI_229",2263.60817244514,59.7248,22,2236.76696881931
"HI_230",2345.30873760359,60.3646,23,2316.1909090329
"HI_231",2243.72310546761,59.6981,24,2214.61671436453
"HI_232",2265.45268861273,60.2275,25,2234.80394874424
"HI_233",2263.3594950806,59.7792,26,2231.48119233298
"CRM",2200.37469690342,60.2677,27,2168.16200426857
