SampleID,Tide,Day_Night,TA,Mass,Sample.Index,TA_evap
junk1,,,2128.655987,60.3801,1,2128.655987
junk2,,,2115.84077,59.58,2,2114.632408
V1,Low,Night,2351.187334,60.3727,3,2348.50333
V2,Low,Night,2344.681854,60.4459,4,2340.669278
V3,Low,Night,2345.164835,59.9451,5,2339.816683
V4,Low,Night,2344.982533,59.8762,6,2338.301671
V5,Low,Night,2336.652228,59.9315,7,2328.668223
V6,Low,Night,2352.296134,59.9092,8,2342.924436
V7,Low,Night,2344.339551,59.7135,9,2333.671339
V8,Low,Night,2350.105033,59.9938,10,2338.080618
V9,Low,Night,2345.949261,60.3444,11,2332.620004
V10,Low,Night,2358.431917,59.91,12,2343.700088
V11,Low,Night,2354.045701,59.5411,13,2338.013608
V12,Low,Night,2336.984344,60.2941,14,2319.751901
V13,Low,Night,2339.197606,60.0443,15,2320.632545
V14,Low,Night,2347.417933,60.0742,16,2327.468206
V15,Low,Night,2347.543052,59.7477,17,2326.274259
V16,Low,Night,2355.993546,59.8966,18,2333.326941
V17,Low,Night,2344.724376,60.0199,19,2320.852748
V18,Low,Night,2363.316081,60.3988,20,2337.93281
V19,Low,Night,2347.13661,60.205,21,2320.615292
V20,Low,Night,2338.533062,59.8668,22,2310.803421
