Table of Measured Values,,,,,,
Task,T984,,,,,
Scope 1/1, Sample 1/6 (--),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-79.1,23.3,NaN,,
0.001,1,-79.1,23.3,0.001,,
0.0025,2,-79.2,23.3,0.0015,,
0.005,3,-79.1,23.3,0.0025,,
0.0085,4,-79.1,23.3,0.003,,
0.015,5,-79.1,23.3,0.006,,
0.023,6,-79,23.3,0.0075,,
0.0315,7,-78.9,23.3,0.0075,,
0.04,8,-78.6,23.3,0.0075,,
0.0485,9,-78.4,23.3,0.0085,,
0.056,10,-78,23.3,0.007,,
0.0645,11,-77.5,23.3,0.0075,,
0.073,12,-77.1,23.3,0.0075,,
0.081,13,-76.3,23.3,0.0075,,
0.0895,14,-75.7,23.3,0.0075,,
0.098,15,-75,23.3,0.0085,,
0.1055,16,-74.2,23.3,0.007,,
0.114,17,-73.4,23.3,0.0075,,
0.1225,18,-72.5,23.3,0.0075,,
0.131,19,-71.5,23.3,0.0075,,
0.1395,20,-70.5,23.3,0.0075,,
0.148,21,-69.5,23.3,0.0085,,
0.1555,22,-68.3,23.3,0.007,,
0.164,23,-67.1,23.3,0.0075,,
0.172,24,-65.9,23.3,0.0075,,
0.1805,25,-64.5,23.3,0.0075,,
0.189,26,-63.1,23.3,0.0075,,
0.1975,27,-61.8,23.3,0.0075,,
0.205,28,-60.5,23.3,0.007,,
0.2135,29,-58.9,23.3,0.0075,,
0.222,30,-57.3,23.3,0.0075,,
0.2305,31,-55.7,23.3,0.0075,,
0.2385,32,-54.1,23.3,0.0075,,
0.247,33,-52.5,23.3,0.0075,,
0.2545,34,-51,23.3,0.007,,
0.263,35,-49.4,23.3,0.0075,,
0.2715,36,-47.7,23.3,0.0075,,
0.28,37,-46.2,23.3,0.0075,,
0.2885,38,-44.8,23.3,0.0075,,
0.297,39,-43.3,23.3,0.0075,,
0.3045,40,-42,23.3,0.007,,
0.313,41,-40.6,23.3,0.0075,,
0.3215,42,-39.3,23.3,0.0075,,
0.33,43,-38,23.3,0.0075,,
0.338,44,-36.7,23.3,0.0075,,
0.3465,45,-35.6,23.3,0.0075,,
0.354,46,-34.5,23.3,0.007,,
0.3625,47,-33.3,23.3,0.0075,,
0.371,48,-32.2,23.3,0.0075,,
0.3795,49,-31.1,23.3,0.0075,,
0.388,50,-30,23.3,0.0075,,
0.3965,51,-29,23.3,0.0075,,
0.404,52,-28,23.3,0.007,,
0.4125,53,-27,23.3,0.0075,,
0.421,54,-26,23.3,0.0075,,
0.429,55,-25,23.3,0.0075,,
0.4375,56,-24.1,23.3,0.0075,,
0.446,57,-23.2,23.3,0.0085,,
0.4535,58,-22.2,23.3,0.007,,
0.462,59,-21.3,23.3,0.0075,,
0.4705,60,-20.4,23.3,0.0075,,
0.479,61,-19.5,23.3,0.0075,,
0.4875,62,-18.5,23.3,0.0075,,
0.496,63,-17.7,23.3,0.0075,,
0.5035,64,-16.8,23.3,0.007,,
0.512,65,-15.9,23.3,0.0075,,
0.52,66,-15.1,23.3,0.0075,,
0.5285,67,-14.2,23.3,0.0075,,
0.537,68,-13.4,23.3,0.0075,,
0.5455,69,-12.6,23.3,0.0075,,
0.553,70,-11.8,23.3,0.007,,
0.5615,71,-10.9,23.3,0.0075,,
0.57,72,-10.1,23.3,0.0075,,
0.5785,73,-9.3,23.3,0.0075,,
0.587,74,-8.5,23.3,0.0075,,
0.595,75,-7.7,23.3,0.0075,,
0.6025,76,-7,23.3,0.0075,,
0.611,77,-6.3,23.3,0.0075,,
0.6195,78,-5.4,23.3,0.0075,,
0.628,79,-4.5,23.3,0.0075,,
0.6365,80,-3.6,23.3,0.0075,,
0.645,81,-2.7,23.3,0.0075,,
0.6525,82,-1.9,23.3,0.0075,,
0.661,83,-0.9,23.3,0.0075,,
0.6695,84,0,23.3,0.0075,,
0.6775,85,0.3,23.3,0.0075,,
0.686,86,0.8,23.3,0.0075,,
0.6945,87,1.6,23.3,0.0075,,
0.702,88,2.6,23.3,0.0075,,
0.7105,89,3.7,23.3,0.0075,,
0.719,90,4.1,23.3,0.0075,,
0.7275,91,4.9,23.3,0.0075,,
0.736,92,5.6,23.3,0.0075,,
0.7445,93,6.3,23.3,0.0075,,
0.7525,94,6.9,23.3,0.008,,
0.7605,95,7.6,23.3,0.0075,,
0.7685,96,8.5,23.3,0.0075,,
0.777,97,9.5,23.3,0.0075,,
0.7855,98,10.5,23.3,0.0075,,
0.794,99,11.5,23.3,0.0075,,
0.8015,100,12.2,23.3,0.0075,,
0.81,101,13.2,23.3,0.0075,,
0.8185,102,14,23.3,0.0075,,
0.827,103,14.9,23.3,0.0075,,
0.8355,104,15.8,23.3,0.0075,,
0.8435,105,16.6,23.3,0.0075,,
0.8515,106,17.5,23.3,0.008,,
0.8595,107,18.3,23.3,0.0075,,
0.868,108,19.2,23.3,0.0075,,
0.8765,109,20.1,23.3,0.0075,,
0.885,110,21,23.3,0.0075,,
0.8935,111,21.9,23.3,0.0075,,
0.901,112,22.7,23.3,0.0075,,
0.9095,113,23.6,23.3,0.0075,,
0.918,114,24.6,23.3,0.0075,,
0.9265,115,25.6,23.3,0.0075,,
0.935,116,26.6,23.3,0.0075,,
0.943,117,27.6,23.3,0.0075,,
0.951,118,28.5,23.3,0.0075,,
0.959,119,29.6,23.3,0.0075,,
0.9675,120,30.6,23.3,0.0075,,
0.976,121,31.6,23.3,0.0075,,
0.9845,122,32.7,23.3,0.0075,,
0.993,123,33.8,23.3,0.0075,,
1.0005,124,34.7,23.3,0.0075,,
1.009,125,35.8,23.3,0.0075,,
1.0175,126,37,23.3,0.0075,,
1.0255,127,38.1,23.3,0.0075,,
1.034,128,39.3,23.3,0.0075,,
1.0425,129,40.5,23.3,0.0075,,
1.051,130,41.5,23.3,0.0085,,
1.0585,131,42.8,23.3,0.007,,
1.067,132,44,23.3,0.0075,,
1.0755,133,45.3,23.3,0.0075,,
1.084,134,46.6,23.3,0.0075,,
1.0925,135,47.9,23.3,0.0075,,
1.1,136,49.1,23.3,0.0075,,
1.1085,137,50.4,23.3,0.0075,,
1.1165,138,51.9,23.3,0.0075,,
1.125,139,53.3,23.3,0.0075,,
1.1335,140,54.8,23.3,0.0075,,
1.142,141,56.3,23.3,0.0075,,
1.1495,142,57.6,23.3,0.0075,,
1.158,143,59.2,23.3,0.0075,,
1.1665,144,60.8,23.3,0.0075,,
1.175,145,62.5,23.3,0.0075,,
1.1835,146,64.3,23.4,0.0075,,
1.1915,147,66.2,23.3,0.0075,,
1.2,148,67.9,23.3,0.0085,,
1.2075,149,69.9,23.4,0.007,,
1.216,150,71.9,23.3,0.0075,,
1.2245,151,74.1,23.3,0.0075,,
1.233,152,76.3,23.3,0.0075,,
1.2415,153,78.7,23.4,0.0075,,
1.25,154,81.2,23.4,0.0075,,
1.2575,155,83.7,23.4,0.007,,
1.266,156,86.6,23.4,0.0075,,
1.274,157,89.7,23.4,0.0075,,
1.2825,158,93.2,23.4,0.0075,,
1.291,159,96.9,23.4,0.0075,,
1.2995,160,101,23.4,0.0075,,
1.307,161,105.1,23.4,0.007,,
1.3155,162,110,23.4,0.0075,,
1.324,163,115.2,23.4,0.0075,,
1.3325,164,120.4,23.4,0.0075,,
1.341,165,126.1,23.4,0.0075,,
1.349,166,131.8,23.4,0.0075,,
1.357,167,137,23.4,0.008,,
1.365,168,142.6,23.4,0.0075,,
1.3735,169,147.8,23.4,0.0075,,
1.382,170,152.7,23.4,0.0075,,
1.3905,171,157.1,23.4,0.0075,,
1.399,172,160.7,23.4,0.0075,,
1.4065,173,163.6,23.4,0.007,,
1.415,174,166.9,23.4,0.0075,,
1.4235,175,169.7,23.4,0.0075,,
1.432,176,172.2,23.4,0.0075,,
1.44,177,174.5,23.4,0.0075,,
1.4485,178,176.2,23.4,0.0075,,
1.4565,179,177.7,23.4,0.0075,,
1.4645,180,179.6,23.4,0.0075,,
1.473,181,181,23.4,0.0075,,
1.4815,182,182.6,23.4,0.0075,,
1.49,183,183.9,23.4,0.0075,,
1.4995,184,185,23.4,0.0075,,
1.4995,424,187.7,23.5,0,,
1.5,425,187.7,23.5,0.0005,,
1.5015,426,187.7,23.5,0.001,,
1.504,428,187.7,23.5,0.0015,,
1.508,428,187.9,23.5,0.008,,
1.514,430,188.2,23.5,0.004,,
1.5225,430,188.7,23.5,0.021,,
1.53,431,189.6,23.5,0.0055,,
1.5385,432,190.6,23.5,0.006,,
1.547,434,191.4,23.5,0.0055,,
1.5555,434,192.3,23.5,0.017,,
1.564,436,193.2,23.5,0.0055,,
1.572,436,194.1,23.5,0.02,,
1.58,437,194.8,23.5,0.0055,,
1.588,438,195.6,23.5,0.0055,,
1.5965,440,196.4,23.5,0.0055,,
1.605,440,197.3,23.5,0.017,,
1.6135,442,198,23.5,0.0055,,
1.622,442,198.6,23.5,0.021,,
1.6295,443,199.2,23.5,0.0055,,
1.638,444,200,23.5,0.006,,
1.6465,446,200.7,23.5,0.0055,,
1.655,446,201.4,23.5,0.017,,
1.663,448,202,23.5,0.0055,,
1.671,448,202.5,23.5,0.02,,
1.679,449,203.2,23.5,0.0055,,
1.6875,450,203.8,23.5,0.006,,
1.696,452,204.3,23.5,0.0055,,
1.7045,452,204.8,23.5,0.017,,
1.713,454,205.5,23.5,0.0055,,
1.7215,454,205.9,23.5,0.021,,
1.729,455,206.4,23.5,0.0055,,
1.7375,456,207,23.5,0.006,,
1.746,458,207.4,23.5,0.0055,,
1.754,458,208,23.5,0.016,,
1.7625,460,208.4,23.5,0.0055,,
1.771,460,208.9,23.5,0.017,,
1.7785,461,209.3,23.5,0.0055,,
1.787,462,209.8,23.5,0.006,,
1.7955,464,210.3,23.5,0.0055,,
1.804,464,210.7,23.5,0.017,,
1.8125,466,211.2,23.5,0.0055,,
1.821,466,211.6,23.5,0.017,,
1.8285,467,211.9,23.5,0.0055,,
1.8365,468,212.3,23.5,0.0055,,
1.845,469,212.8,23.5,0.006,,
1.8535,470,213.2,23.5,0.0055,,
1.862,472,213.6,23.5,0.0055,,
1.8705,472,214,23.5,0.017,,
1.879,473,214.4,23.5,0.006,,
1.8865,474,214.7,23.5,0.0055,,
1.895,475,215.1,23.5,0.006,,
1.903,476,215.5,23.5,0.0055,,
1.9115,478,215.9,23.5,0.0055,,
1.92,478,216.2,23.5,0.017,,
1.9285,479,216.5,23.5,0.006,,
1.936,480,216.8,23.5,0.0055,,
1.9445,481,217.2,23.5,0.006,,
1.953,482,217.5,23.5,0.0055,,
1.9615,484,217.9,23.5,0.0055,,
