Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,Junk1,9/10/2026 2:16:59 PM,OK,Unchecked,0,,25.0,°C,,2.264,mL,,60.163,g,,60.1626,g,1.0,g/mL,
2,Junk2,9/10/2026 2:27:25 PM,OK,Unchecked,0,,25.0,°C,,2.246,mL,,60.040,g,,60.0399,g,1.0,g/mL,
3,Junk3,9/10/2026 2:37:41 PM,OK,Unchecked,0,,25.0,°C,,2.249,mL,,60.132,g,,60.1321,g,1.0,g/mL,
4,T1,9/10/2026 2:47:57 PM,OK,Unchecked,0,,25.0,°C,,2.231,mL,,60.378,g,,60.3785,g,1.0,g/mL,
5,B1,9/10/2026 2:58:11 PM,OK,Unchecked,0,,25.0,°C,,2.228,mL,,60.253,g,,60.2534,g,1.0,g/mL,
6,B2,9/10/2026 3:08:25 PM,OK,Unchecked,0,,25.0,°C,,2.170,mL,,60.052,g,,60.0520,g,1.0,g/mL,
7,T3,9/10/2026 3:18:31 PM,OK,Unchecked,0,,25.0,°C,,2.220,mL,,60.279,g,,60.2786,g,1.0,g/mL,
8,B3,9/10/2026 3:28:43 PM,OK,Unchecked,0,,25.0,°C,,2.217,mL,,60.347,g,,60.3468,g,1.0,g/mL,
9,T4,9/10/2026 3:38:55 PM,OK,Unchecked,0,,25.0,°C,,2.230,mL,,60.160,g,,60.1595,g,1.0,g/mL,
10,B4,9/10/2026 3:49:10 PM,OK,Unchecked,0,,25.0,°C,,2.210,mL,,60.026,g,,60.0264,g,1.0,g/mL,
11,T5,9/10/2026 3:59:21 PM,OK,Unchecked,0,,25.0,°C,,2.202,mL,,60.028,g,,60.0284,g,1.0,g/mL,
12,T6,9/10/2026 4:09:30 PM,OK,Unchecked,0,,25.0,°C,,2.228,mL,,59.979,g,,59.9787,g,1.0,g/mL,
13,T7,9/10/2026 4:19:45 PM,OK,Unchecked,0,,25.0,°C,,2.190,mL,,60.292,g,,60.2924,g,1.0,g/mL,
14,B7,9/10/2026 4:29:55 PM,OK,Unchecked,0,,25.0,°C,,2.232,mL,,60.357,g,,60.3574,g,1.0,g/mL,
15,T8,9/10/2026 4:40:09 PM,OK,Unchecked,0,,25.0,°C,,2.194,mL,,60.493,g,,60.4926,g,1.0,g/mL,
16,B8,9/10/2026 4:50:19 PM,OK,Unchecked,0,,25.0,°C,,2.196,mL,,60.418,g,,60.4183,g,1.0,g/mL,
17,T9,9/10/2026 5:00:25 PM,OK,Unchecked,0,,25.0,°C,,2.204,mL,,60.063,g,,60.0626,g,1.0,g/mL,
18,B9,9/10/2026 5:10:37 PM,OK,Unchecked,0,,25.0,°C,,2.204,mL,,60.254,g,,60.2545,g,1.0,g/mL,
